"Shopping Cart",Panier
"Invalid method: %1","Méthode invalide : %1"
"My Cart (1 item)","Mon panier (1 produit)"
"My Cart (%1 items)","Mon panier (%1 produits)"
"My Cart","Mon panier"
"Minimum order amount is %1","Le montant minimal de commande est %1"
"Customer is already registered","Client déjà enregistré"
"Your session has expired","Votre session a expiré"
"You added %1 to your shopping cart.","Le produit %1 a été ajouté à votre panier."
"We cannot configure the product.","Nous ne pouvons pas configurer le produit."
"You used coupon code ""%1"".","Vous avez utilisé le code promo ""%1""."
"The coupon code ""%1"" is not valid.","Le code promo ""%1"" n'est pas valide."
"You canceled the coupon code.","Vous avez annulé le code de promo."
"We cannot apply the coupon code.","Nous ne pouvons pas appliquer le code promo."
"%1 was updated in your shopping cart.","%1 a été mis à jour dans votre panier."
"One-page checkout is turned off.","Une page du passage de dommande est désactivé."
"Guest checkout is disabled.","La passage de commande Invité est désactivé."
Checkout,Commander
"Page not found.","Page introuvable."
"Something went wrong while processing your order. Please try again later.","Une erreur s'est produite lors du traitement de votre commande. Veuillez réessayer plus tard."
"The product does not exist.","Le produit n'existe pas."
"Quantity was recalculated from %1 to %2","La quantité a été recalculée de %1 à %2"
"We adjusted product quantities to fit the required increments.","Nous avons ajusté les quantités de produits pour adapter les incréments nécessaires."
"This quote item does not exist.","Ce commentaire d'article n'existe pas."
"Display number of items in cart","Afficher le nombre de produits différents dans le panier"
"Display item quantities","Afficher la quantité de produit"
"Shipping address is not set","L'adresse de livraison n'est pas configuré"
"Unable to save address. Please, check input data.","Impossible d'enregistrer l'adresse. Veuillez vérifier les données que vous avez entrée."
"Carrier with such method not found: %1, %2","Méthode transporteur introuvable avec une telle: %1, %2"
"Unable to save shipping information. Please, check input data.","Impossible d'enregistrer les informations de livraison. Veuillez vérifier les données que vous avez entrée."
"Cart contains virtual product(s) only. Shipping address is not applicable.","Le panier contient seulement du produit virtuel(s). L'adresse de livraison n'est pas applicable."
"Shipping method is not applicable for empty cart","La méthode d'expédition n'est pas applicable pour un panier vide"
" item"," produit"
" items"," produits"
"Totals calculation is not applicable to empty cart","Calcul de totaux n'est pas applicable sur un vide panier"
"Invalid data","Données invalides"
"The customer address is not valid.","L'adresse du client n'est pas valide."
"Invalid shipping method","Méthode d'expédition invalide"
"There are more than one shipping addresses.","Il y a plus d'une adresses de livraison."
"Sorry, guest checkout is not available.","Désolé, le passage de commande d'invité n'est pas disponibles."
"You must confirm your account. Please check your email for the confirmation link or <a href=""%1"">click here</a> for a new link.","Vous devez confirmer votre compte. Veuillez allez vérifier dans vos e-mail afin de voir le lien de confirmation ou <a href=""%1""> cliquez ici </a> pour un nouveau lien."
"Load customer quote error","Erreur lors du chargement du panier client"
"Error message!","Message d'erreur!"
Error!,Erreur!
"Wrong minimum amount.","Montant minimum incorrect."
Message,Message
"Apply Discount Code","Appliquer Code de Réduction"
"Enter discount code","Entrez le code de réduction"
"Apply Discount","Appliquer la Remise"
"Cancel Coupon","Annuler le bon de réduction"
"Shopping Cart Items","Panier de produits"
Item,Article
"Continue Shopping","Continuer vos achats"
"Clear Shopping Cart","Vider le panier"
"Update Shopping Cart","Mettre à jour vos achats dans le panier"
"Update Cart","Mettre à jour le panier"
"See price before order confirmation.","Voir le prix avant la confirmation de la commande."
"Edit item parameters","Modifier les paramètres du produit"
"Remove item","Supprimer l'article"
"You have no items in your shopping cart.","Votre panier d'achat ne contient plus aucun produit."
"Click <a href=""%1"">here</a> to continue shopping.","Cliquez <a href=""%1"">ici</a> pour continuer vos achats."
"Estimate Tax","Estimation Taxe"
"Estimate Shipping and Tax","Estimer la livraison et sa TVA"
"Excl. Tax",HT
"Order #","Commande n°"
"Proceed to Checkout",Commander
"Incl. Tax",TTC
"Your order number is: %1.","Votre numéro de commande est: %1."
"Your order # is: <span>%1</span>.","Votre commande N° est: <span>%1 </ span>."
"What's this?","Qu'est-ce que c'est ?"
"Payment Transaction Failed","Transaction de Paiement en Echec"
Reason,Raison
"Checkout Type","Type de Commande"
Customer:,Client:
Total:,Total:
"Billing Address:","Adresse de facturation :"
"Shipping Address:","Adresse de livraison :"
"Date & Time:","Date et heure:"
"Checkout Options","Options de règlement"
"Enable Onepage Checkout","Activer le passage de commande en une seule page"
"Allow Guest Checkout","Autoriser le passage de commande en tant qu'invité"
"Require Customer To Be Logged In To Checkout","Imposer au client d'être connecté pour passer une commande"
"Quote Lifetime (days)","Durée de vie du panier (en jours)"
"After Adding a Product Redirect to Shopping Cart","Rediriger vers le panier après l'ajout d'un produit"
"My Cart Link","Lien vers mon panier"
"Display Cart Summary","Afficher le résumé du panier"
"Shopping Cart Sidebar","Barre latérale du panier"
"Display Shopping Cart Sidebar","Afficher la barre latérale du panier"
"Maximum Display Recently Added Item(s)","Nombre maxi d'articles récemment ajoutés à afficher"
"Payment Failed Emails","E-mails d'erreur de paiement"
"Payment Failed Email Sender","Expéditeur du mail d'erreur de paiement"
"Payment Failed Email Receiver","Destinataire du mail d'erreur de paiement"
"Payment Failed Template","Gabarit d'erreur de paiement"
"Send Payment Failed Email Copy To","Envoyer une copie du mail d'erreur de paiement à"
"Separate by "","".","Séparation par des virgules."
"Send Payment Failed Email Copy Method","Envoyer une copie du mail d'erreur de paiement en utilisant la méthode"
"We'll send your order confirmation here.","Nous vous enverrons votre confirmation de commande ici."
"For delivery questions.","Pour des questions de livraison."
Payment,Paiement
"Cart Subtotal","Sous-total du panier"
"Not yet calculated","Non encore calculé"
"We received your order!","Nous avons pris en compte votre commande !"
