"Change Encryption Key","Changer la clé de chiffrement"
"Encryption Key","Clé de chiffrement"
"New Encryption Key","Nouvelle clé de chiffrement"
"The encryption key is used to protect passwords and other sensitive data.","La clé de chiffrement est utilisée pour protéger les mots de passe et d'autres données sensibles."
"Auto-generate a Key","Générer automatiquement une clé"
"The generated key will be displayed after changing.","La clé générée sera affichée après avoir été changé."
"New Key","Nouvelle clé"
"Deployment configuration file is not writable.","Le fichier de configuration du déploiement n'est pas accessible en écriture."
"Please enter an encryption key.","Veuillez renseigner une clé de chiffrement."
"The encryption key has been changed.","La clé de chiffrement a été modifiée."
