"Export Settings","Paramètres d'export"
"Entity Type","Type d'entité"
"Export File Format","Format du fichier d'export"
"Attribute Label","Libellé attribut"
Filter,Filtre
"Unknown attribute filter type","Type de filtre attribut inconnu"
"Check Data","Vérifier les données"
"Import Settings","Paramètres d'import"
"Import Behavior","Comportement d'import"
"Allowed Errors Count","Nombre d'erreur admise"
"Please specify number of errors to halt import process","Veuillez préciser le nombre d'erreurs pour arrêter le processus d'importation"
"Field separator","Séparateur de champs"
"Multiple value separator","Séparateur multiple de valeur"
"File to Import","Fichier à importer"
"Select File to Import","Sélectionner le fichier à importer"
"Images File Directory","Répertoire de fichier images"
"Download Sample File","Télécharger le fichier d'exemple"
"Please correct the data sent value.","Veuillez corriger la valeur des données envoyées."
Import/Export,Importer/Exporter
History,Historique
"Import History","Import Historique"
"Import history","Import historique"
"There is no sample file for this entity.","Il n'y a pas de fichier d'exemple pour cette entité."
"Maximum error count has been reached or system error is occurred!","Le quota d'erreur maximale a été atteinte ou une erreur système est survenue!"
"Import successfully done","Importation terminée avec succès"
"This file is empty. Please try another one.","Ce fichier est vide. Veuillez essayer un autre."
"Data validation is failed. Please fix errors and re-upload the file..","La validation des données a échoué. Veuillez corriger les erreurs et réimporter le fichier .."
"File is valid! To start import process press ""Import"" button","Le fichier est valide. Cliquez sur le bouton ""Importer"" pour démarrer le processus d'import."
"Checked rows: %1, checked entities: %2, invalid rows: %3, total errors: %4","Rangées vérifié: %1, entités vérifié: %2, lignes invalides: %3, total erreurs: %4"
"The file was not uploaded.","Le fichier n'a pas été envoyé."
"Sorry, but the data is invalid or the file is not uploaded.","Désolé, mais les données sont invalides ou le fichier n'a pas été envoyé."
"Show more","Afficher plus"
"Additional data","Donnée supplémentaire"
"Following Error(s) has been occurred during importing process:","Suite d'erreur(s) produite pendant le processus d'importation:"
"Only first 100 errors are displayed here. ","Seuls les 100 premières erreurs sont affichés ici. "
"Download full report","Téléchargez le rapport complet"
"in rows:","dans les lignes :"
"Created: %1, Updated: %2, Deleted: %3","Crée: %1, Misa à jour: %2, Supprimé: %3"
"Please enter a correct entity model.","Veuillez entrer un modèle d'entité correcte."
"The entity adapter object must be an instance of %1 or %2.","L'objet de l'adaptateur d'entité doit être une instance de %1 ou %2."
"The input entity code is not equal to entity adapter code.","Le code entrée d'entité ne correspond pas au code de l'adaptateur de l'entité."
"Please enter a correct entity.","Veuillez entrer une entité correcte."
"The adapter object must be an instance of %1.","L'objet de l'adaptateur doit être une instance de %1."
"Please correct the file format.","Veuillez corriger le format de fichier."
"Begin export of %1","Commencez l'exportation de %1"
"There is no data for the export.","Il n'existe aucune données pour l'exportation."
"Exported %1 rows.","Exporté %1 lignes."
"The export is finished.","L'exportation est terminée."
"Please provide filter data.","Veuillez fournir des données de filtrage."
"Entity is unknown","L'entité est inconnue"
"Please correct the value for ""%1"" column.","Veuillez corriger la valeur de la colonne ""%1""."
"Please specify the writer.","Veuillez spécifier l'écriture."
"The destination file path must be a string.","Le chemin du fichier de destination doit être une chaîne."
"The destination directory is not writable.","Le répertoire de destination est pas accessible en écriture."
"Destination file is not writable","Le fichier de destination n'a pas les droits en écriture"
"The header column names are already set.","Les noms de colonnes d'en-tête sont déjà définis."
"Data validation is failed. Please fix errors and re-upload the file.","La validation des données a échoué. Veuillez corriger les erreurs et réimporter le fichier."
"in rows","en lignes"
"The validation is complete.","La validation est terminée."
"This file does not contain any data.","Ce fichier ne contient pas de données."
"Begin import of ""%1"" with ""%2"" behavior","Commencez l'importation de ""%1"" avec ""%2"" en comportement"
"The import was successful.","L'importation a réussi."
"The file you uploaded has no extension.","Le fichier que vous avez envoyé n'a pas d'extension."
"The source file moving process failed.","Le processus en mouvement du fichier source a échoué."
"Begin data validation","Commencez la validation des données"
"Import data validation is complete.","La validation des données pour l'importation est terminée."
"The behavior token for %1 is invalid.","L'analyse transactionnelle pour %1 est invalide."
"Please enter a correct entity model","Veuillez entrer un modèle d'entité correcte"
"Source file coping failed","La copie du fichier source a échoué"
"The source is not set.","La source n'est pas défini."
"The adapter type must be a non-empty string.","Le type d'adaptateur doit être une chaîne non vide."
"Adapter must be an instance of \Magento\ImportExport\Model\Import\AbstractSource","Adapter doit être une instance de \Magento\ImportExport\Model\Import\AbstractSource"
"Please specify a source.","Veuillez spécifier une source."
"ImportExport: Import Data validation - Validation strategy not found","ImportExport: Validation des données d'import - stratégie de validation introuvable"
"Cannot get autoincrement value","Vous ne pouvez pas obtenir la valeur autoincrement"
"Error in data structure: %1 values are mixed","Erreur dans la structure de données: %1 des valeurs sont mélangés"
Add/Update,"Ajouter/Mettre à jour"
Replace,Remplacer
"Note: Product IDs will be regenerated.","Remarque: ID de produit seront régénérés."
"Add/Update Complex Data","Ajouter/Mettre à jour données complexes"
"Delete Entities","Effacer les entités"
"Custom Action","Action personnalisée"
"Error message","Message d'erreur"
"URL key for specified store already exists.","La clé d'URL pour le magasin spécifiée existe déjà."
"Entity Attributes","Attributs d'entité"
"Validation Results","Résultat de validation"
"Start Date&Time","Date & Heure démarrage"
User,Utilisateur
"Imported File","Fichier importé"
"Error File","Fichier d'erreur"
"Execution Time","Temps d'exécution"
