"Search Term","Terme de recherche"
"Search Terms","Termes de recherche"
"Add New Search Term","Ajouter un terme de recherche"
"Save Search","Enregistrer la recherche"
"Delete Search","Supprimer la recherche"
"Edit Search '%1'","Modifier la recherche '%1'"
"New Search","Nouvelle recherche"
"Search Information","Informations de recherche"
"Search Query","Termes de recherche"
"Number of results","Nombre de résultats"
"Number of results (For the last time placed)","Nombre de résultats (retournés lors de la dernière recherche)"
"For the last time placed.","Lors de la dernière requête."
"Number of Uses","Nombre d'utilisations"
"Synonym For","Synonyme de"
"Will make search for the query above return results for this search","Exécutera la recherche pour la recherche ci-dessus et en retournera les résultats."
"Redirect URL","URL de redirection"
"ex. http://domain.com","ex : http://domaine.com"
"Display in Suggested Terms","Afficher dans les termes suggérés"
"You deleted the search.","La recherche a été supprimée."
"This search no longer exists.","Cette recherche n'existe plus."
"Edit Search","Modifier la recherche"
"Please select searches.","Veuillez sélectionner les recherches."
"Search Terms Report","Rapport des termes de recherche"
"You saved the search term.","Le terme de recherche a été enregistré."
"Something went wrong while saving the search query.","Une erreur s'est produite lors de l'enregistrement de la requête de recherche."
"You already have an identical search term query.","Il existe déjà une requête de recherche identique."
"Search entire store here...",Rechercher...
"There are no search terms available.","Aucun terme de recherche disponible."
"Search Engine","Moteur de recherche"
Hits,Vues
Synonym,Synonymes
"Suggested Terms","Termes suggérés"
yes,oui
no,non
