"Tax Rate Information","Information sur le taux de taxe"
"Tax Identifier","Identifiant de taxe"
"Rate Percent",Taux
"Tax Titles","Titre pour la classe"
"Add New Tax Rate","Ajouter une nouvelle taxe"
"Delete Rate","Supprimer le taux"
"Save Rate","Enregistrer le taux"
"Manage Tax Rules","Gérer les règles de taxes"
"Add New Tax Rule","Ajouter une nouvelle règle"
"Save Rule","Enregistrer la règle"
"Delete Rule","Supprimer la règle"
"Tax Rule Information","Information sur la règle de taxe"
"Customer Tax Class","Classe de taxe client"
"Product Tax Class","Classes de taxe produit"
"Tax Rate","Taux de taxe"
"Tax rates at the same priority are added, others are compounded.","Les taux de taxe avec la même priorité sont ajoutés. Les autres sont composés."
"Calculate Off Subtotal Only","Calculer sur le sous-total uniquement"
"Do you really want to delete this tax class?","Voulez-vous vraiment supprimer cette classe de taxe ?"
"Add New Tax Class","Ajouter une nouvelle classe de taxe"
"Subtotal (Excl.Tax)","Sous-total HT"
"Subtotal (Incl.Tax)","Sous-total TTC"
"Shipping & Handling (Excl.Tax)","Livraison et traitement (HT)"
"Shipping & Handling (Incl.Tax)","Livraison et traitement (TTC)"
"Grand Total (Excl.Tax)","Total (HT)"
"Grand Total (Incl.Tax)","Total (TTC)"
"Manage Tax Rates","Gérer les taux des taxes"
"New Tax Rate","Nouveau taux"
"An error occurred while loading this tax rate.","Une erreur s'est produite lors du chargement de ce taux de taxe."
"You deleted the tax rate.","Taux supprimé."
"Something went wrong deleting this rate.","Une erreur s'est produite lors de la suppression de ce taux."
"Edit Tax Rate","Modifier le taux de la taxe"
"You saved the tax rate.","Taux de taxe enregistré."
"Tax Rules","Règles de taxe"
"The tax rule has been deleted.","La règle de taxe a été supprimée."
"Something went wrong deleting this tax rule.","Une erreur s'est produite lors de la suppression de cette règle de taxe."
"New Tax Rule","Nouvelle règle de taxe"
"You saved the tax rule.","Règle de taxe enregistrée."
"Invalid name of tax class specified.","Le nom spécifié de la classe de taxe est invalide."
"Make sure all required information is valid.","Assurez-vous que toutes les informations requises sont valides."
"The Rate Percent should be a positive number.","Le taux de pourcentage doit être un nombre positif."
"Maximum zip code length is 9.","La longueur maximale du code postal est de 9 caractères."
"Use digits only for the zip code.","Utilisez uniquement des chiffres pour le code postal."
"Range To should be equal or greater than Range From.","""Tranche jusqu'à"" doit être supérieur ou égal à ""Tranche à partir de""."
"The tax rate cannot be removed. It exists in a tax rule.","Le taux de taxe ne peut pas être supprimé. Il existe dans une règle de taxe."
"This class no longer exists.","Cette classe n'existe plus."
"You cannot delete this tax class because it is used in Tax Rules. You have to delete the rules it is used in first.","Impossible de supprimer cette classe de taxe car elle est utilisée dans une règle de taxe. Vous devez supprimer les règles qui l'utilisent en premier."
"You cannot delete this tax class because it is used in existing %1(s).","Impossible de supprimer cette classe de taxe car elle est utilisée dans %1."
"Custom price if available","Prix personnalisé si disponible"
"Original price only","Prix original seulement"
"Shipping Origin","Origine de livraison"
"No (price without tax)","Non (prix sans taxes)"
"Yes (only price with tax)","Oui (prix avec taxe seulement)"
"Both (without and with tax)","Les deux (avec et sans taxes)"
"Invalid type supplied","Type fourni invalide"
"Class name and class type","Nom et type de la classe"
"Grand Total (Excl. Tax)","Total (HT)"
"Grand Total (Incl. Tax)","Total (TTC)"
"Shipping (Excl. Tax)","Livraison (HT)"
"Shipping (Incl. Tax)","Livraison et traitement (TTC)"
"Unit Price","Prix unitaire"
"Before Discount","Avant remise"
"After Discount","Après remise"
"Excluding Tax",HT
"Including Tax",TTC
"Including and Excluding Tax","HT et TTC"
"Warning tax configuration can result in rounding errors. ","Attention : la configuration des taxes peut entraîner des erreurs d'arrondis. "
"Store(s) affected: ","Magasin(s) affecté(s) : "
"Click on the link to <a href=""%1"">ignore this notification</a>","Cliquer sur le lien pour <a href=""%1"">ignorer la notification</a>"
"Please see <a href=""%1"">documentation</a> for more details. ","Veuillez consulter <a href=""%1"">la documentation</a> pour plus de détails. "
"Click here to go to <a href=""%1"">Tax Configuration</a> and change your settings.","Cliquez ici pour aller à la <a href=""%1"">Configuration des taxes</a> et modifier vos paramètres."
"Invalid type of tax class ""%1""","%1 est un type de classe de taxe invalide."
"Updating classType is not allowed.","Mise à jour du type de classe non permise."
"A class with the same name already exists for ClassType %1.","Une classe avec le même nom existe déjà pour la ClassType %1."
"customer group","groupe de clients"
product,produit
"Excl. tax:","HT :"
"Entity already exists","L'entité existe déjà"
"Cannot save titles","Cannot save titles"
"Some Message","Some Message"
"Something went wrong","Une erreur s'est produite"
"Could not save","Impossible d'enregistrer"
"No such entity","No such entity"
Note:,"Remarque :"
"Leave this field empty if you wish to use the tax identifier.","Laisser ce champ vide si vous voulez utiliser l'identifiant de la taxe."
"An error occurred","Une erreur est survenue"
"Do you really want to delete this tax rate?","Voulez-vous vraiment supprimer ce taux de taxe ?"
