"Allowable values: ""paypal"", ""primary"" (default), your_custom_value (a custom payment page style from your merchant account profile).","Les valeurs autorisées: ""paypal"", ""primary"" (default), your_custom_value (une page de paiement personnalisé le style de votre profil de compte marchand).",""
"The background color for the checkout page around the header and payment form.","La couleur de fond de la page de paiement autour de la tête et le formulaire de paiement.",""
"The background color for the header of the checkout page. Case-insensitive six-character HTML hexadecimal color code in ASCII.","La couleur de fond de l'en-tête de la page de paiement. Insensible à la casse de six caractères HTML code de couleur hexadécimal en ASCII.",""
"The image at the top left of the checkout page. Max size is 750x90-pixel. <strong style=""color:red"">https</strong> is highly encouraged.","L'image en haut à gauche de la page de paiement. Taille maximale est 750x90 pixels. <strong style=""color:red"">https</strong> est fortement encouragée.",""
"<a href=""http://www.magentocommerce.com/paypal"">Start accepting payments via PayPal!</a>","<a href=""http://www.magentocommerce.com/paypal"">Commencez à accepter les paiements via PayPal!</a>",""
"<a href=\https://financing.paypal.com/ppfinportal/content/whyUseFinancing\"" target=\""_blank\"">Why Advertise Financing?</a><br/>","<a href=\https://financing.paypal.com/ppfinportal/content/whyUseFinancing\"" target=\""_blank\"">Pourquoi l'Annonce de financement ?</a><br/>",""
"<a href=\https:/financing.paypal.com/ppfinportal/content/whyUseFinancing\"" target=\""_blank\"">Why Advertise Financing?</a><br/>","<a href=\https:/financing.paypal.com/ppfinportal/content/whyUseFinancing\"" target=\""_blank\"">Pourquoi annoncer le financement ?</a><br/>",""
"PayPal All-in-One Payment Solutions&nbsp;&nbsp;<i>Accept and process credit cards and PayPal payments.</i>","PayPal All-in-One Solutions de paiement&nbsp;&nbsp;<i>Accepter les cartes de crédit et des processus et des paiements PayPal.</i>",""
"Supporting of American Express cards require additional agreement. Learn more at <a href=""http://www.paypal.com/amexupdate"">http://www.paypal.com/amexupdate</a>.","Supporter des cartes American Express nécessitent un accord supplémentaire. En savoir plus au <a href=""http://www.paypal.com/amexupdate"">http://www.paypal.com/amexupdate</a>.",""
"Copy","Copie",""
"Transaction ID: ""%1""","Identifiant de transaction : ""%1""",""
"[deleted]","[effacé]",""
"for more information or","pour plus d'information ou",""
"is not available. You still can process offline actions.","n'est pas disponible. Vous pourrez toujours effectuer ces actions hors ligne.",""
"item","produit",""
"items","produits",""
"to learn more.","pour apprendre plus.",""
"unread)","non lu)",""
"""%1"" cannot contain more than %2 lines.","""%1"" ne peut pas contenir plus de %2 lignes.",""
"""%1"" contains non-alphabetic characters.","""%1"" contient des caractères non alphabétiques.",""
"""%1"" contains non-alphabetic or non-numeric characters.","""%1"" contient des caractères non-alphabétiques ou non numériques.",""
"""%1"" contains non-numeric characters.","""%1"" contient des caractères non numériques.",""
"""%1"" coupon code is not valid.","Le bon de réduction ""%1"" n'est pas valide.",""
"""%1"" coupon code was not applied. Do not apply discount is selected for item(s)","Le bon de réduction ""%1"" n'a pas été appliqué. Ne pas appliquer de réduction est sélectionné pour les articles.",""
"""%1"" does not fit the entered date format.","""%1"" ne correspond pas au format de date saisi.",""
"""%1"" exceeds the allowed file size.","""%1"" excède la taille maxi autorisée pour les fichiers.",""
"""%1"" height exceeds allowed value of %2 px.","La hauteur de ""%1"" excède la valeur de %2 px.",""
"""%1"" invalid type entered.","""%1"" type de saisi est invalide.",""
"""%1"" is a required value.","""%1"" est une valeur obligatoire.",""
"""%1"" is an empty string.","""%1"" est une chaîne vide.",""
"""%1"" is not a valid URL.","""%1"" n'est pas une URL valide.",""
"""%1"" is not a valid date.","""%1"" n'est pas une date valide.",""
"""%1"" is not a valid email address.","%1 n'est pas une adresse e-mail valide.",""
"""%1"" is not a valid file extension.","""%1"" n'est pas une extension de fichier valide.",""
"""%1"" is not a valid file.","""%1"" n'est pas un fichier valide.",""
"""%1"" is not a valid hostname.","""%1"" n'est pas un nom d'hôte valide.",""
"""%1"" is not a valid image format","""%1"" n'est pas un format d'image valide",""
"""%1"" is not a valid image format.","""%1"" est pas un format d'image valide.",""
"""%1"" length must be equal or greater than %2 characters.","La longueur de ""%1"" doit être supérieure ou égale à %2 caractères.",""
"""%1"" length must be equal or less than %2 characters.","La longueur de ""%1"" doit être égale ou inférieure à %2 caractères.",""
"""%1"" section source is not supported","""%1"" source de la section n'est pas pris en charge",""
"""%1"" uses too many characters.","""%1"" utilise trop de caractères.",""
"""%1"" width exceeds allowed value of %2 px.","La largeur de ""%1"" excède la valeur de %2 px.",""
"""Per Order"" allows a single handling fee for the entire order. ""Per Package"" allows an individual handling fee for each package.","""Par commande"" => frais de traitement pour l'ensemble de la commande<br />""Par paquet"" => frais de traitement pour chaque paquet.",""
"""Remember Me"" Default Value","Valeur par défaut de ""Se souvenir de moi""",""
"""file"" parameter must be specified","le paramètre ""file"" doit être renseigné",""
"""file"" parameter must be specified and must not be empty","Le paramètre ""file"" doit être renseigné et ne peut pas être vide",""
"# of Items (and above)","Nombre d'articles (et au-delà)",""
"# of Items vs. Destination","Nombre d'articles par destination",""
"%1","%1",""
"%1 %2","%1 %2",""
"%1 (Default)","%1 (Défaut)",""
"%1 - %2","%1 - %2",""
"%1 - Discounts and Coupons","%1 - Remises et coupons",""
"%1 - Special Products","%1 - Produits en promotion",""
"%1 / %2 rate:","Taux %1 / %2 :",""
"%1 <span>x</span> %2 <span>px.</span>","%1 <span>x</span> %2 <span>px.</span>",""
"%1 An empty value is allowed as well.","%1 Une valeur vide est autorisé aussi.",""
"%1 Cart Price Rules based on ""%2"" attribute have been disabled.","La règle de prix panier %1 basée sur l'attribut ""%2"" a été désactivée.",""
"%1 Item","%1 Produit",""
"%1 Item(s)","%1 article(s)",""
"%1 Items","%1 Produits",""
"%1 Review(s)","%1 Avis",""
"%1 and above","%1 et plus",""
"%1 and greater","%1 et plus",""
"%1 cache type(s) disabled.","%1 type(s) de cache désactivé(s).",""
"%1 cache type(s) enabled.","%1 type(s) de cache activé(s).",""
"%1 cache type(s) refreshed.","%1 type(s) de cache actualisé(s).",""
"%1 class doesn't implement \Magento\Payment\Model\MethodInterface","La classe %1 n'implémente pas \Magento\Payment\Model\MethodInterface",""
"%1 coupon(s) have been generated.","%1 coupon(s) ont été générés.",""
"%1 doesn't extend \Magento\Catalog\Model\Layer\Filter\Dynamic\AlgorithmInterface","%1 ne s'accordant pas avec \Magento\Catalog\Model\Layer\Filter\Dynamic\AlgorithmInterface",""
