Go to Checkout,Commander,module,Magento_Checkout
View and edit cart,Voir et modifier le panier,module,Magento_Checkout
Order Summary,Résumé de la commande,module,Magento_Checkout
Item in Cart,Article dans le panier,module,Magento_Checkout
Items in Cart,Articles dans le panier,module,Magento_Checkout
Review & Payments,Vérification & Paiements,module,Magento_Checkout
All Customers,Tous les clients,module,Magento_Customer
Now Online,Actuellement en ligne,module,Magento_Customer
Newsletter Template,Gabarit de newsletter,,
SEO & Search,SEO & Recherche,,
User Content,Contenu utilisateur,,
Products in Cart,Produits dans les paniers,,
By Customers,Par clients,,
By Products,Par produits,,
PayPal Settlement,Règlement PayPal,,
Order Count,Nombre de commandes,,
All Stores,Tous les magasins,,
Other Settings,Autres paramètres,,
Data Transfer,Transfert de données,,
Import/Export Tax Rates,Import/Export des taux de taxe,,
Import Historique,Historique des imports,,
Web Setup Wizard,Assistant de configuration Web,,
All Users,Tous les utilisateurs,,
User Roles,Rôles des utilisateurs,,
Manage Encryption Key,Gérer la clé de chiffrement,,
Search by keyword,Rechercher par mot clé,,
Select Items,Sélectionner des éléments,,
Filters,Filtres,,
Default View,Vue par défaut,,
Columns,Colonnes,,
Middle Name/Initial,Deuxième Nom/Initiales,,
Prefix,Préfixe,,
Suffix,Suffixe,,
Simple Product,Produit simple,,
Configurable Product,Produit configurable,,
Grouped Product,Produit groupé,,
Virtual Product,Produit virtuel,,
Bundle Product,Produit packagé,,
Downloadable Product,Produit téléchargeable,,
start typing to search category,commencez à taper pour chercher une catégorie,,
Show / Hide Editor,Afficher/Cacher l'éditeur,,
Product Details,Détails du produit,,
Advanced Pricing,Tarification avancée,,
Special Price From Date,Prix spécial débute le,,
Special Price To Date,Prix spécial fini le,,
Cost,Coût,,
Tier Price,Prix par paliers,,
Manufacturer's Suggested Retail Price,Prix public conseillé,,
Active From,Activé à partir du,,
Active To,Activé jusqu'au,,
Custom Layout Update,Mise à jour d'agencement personnalisé,,
Display Product Options In,Afficher les options de produits dans,,
Autosettings,Paramètres automatiques,,
Short Description,Description courte,,
Set Product as New from Date,Produit nouveau à partir du,,
Set Product as New to Date,Produit nouveau jusqu'au,,
Country of Manufacture,Pays de fabrication,,
Allow Gift Message,Autoriser les messages cadeau,,
Field,Champ texte,,
Area,Zone de texte,,
Drop-down,Liste déroulante,,
Radio Buttons,Bouton radio,,
Checkbox,Cases à cocher,,
Date & Time,Date & Heure,,
Display Settings,Paramètres d'affichage,,
Include in Navigation Menu,Inclure dans le menu de navigation,,
Display Mode,Mode d'affichage,,
CMS Block,Bloc CMS,,
Is Anchor,Est une ancre,,
Available Product Listing Sort By,Autoriser la liste des produits à être triée par,,
Default Product Listing Sort By,Tri de la liste des produits par défaut,,
Layered Navigation Price Step,Intervalle de prix pour la navigation à facette,,
Use Parent Category Settings,Utiliser les paramètres de la catégorie parente,,
Apply To Products,Appliquer aux produits,,
