"System Backup","Sauvegarde du système"
"Database and Media Backup","Sauvegarde base de données et media"
"Database Backup","Sauvegarde de la base de données"
"The archive can be uncompressed with <a href=""%1"">%2</a> on Windows systems.","L\'archive peut être décompressé avec <a href=""%1"">%2</a> sur les systèmes Windows."
"You need more permissions to activate maintenance mode right now.","Vous avez besoin de plus d\'autorisations pour activer le mode de maintenance actuellement."
"To create the backup, please deselect ""Put store into maintenance mode"" or update your permissions.","Pour créer la sauvegarde, Veuillez décocher la case ""Mettre le magasin en mode de maintenance"" ou bien veuillez mettre à jour vos autorisations."
"Something went wrong while putting your store into maintenance mode.","Une erreur s\'est produite lors de la mise en maintenance de votre magasin."
"You need more free space to create a backup.","Vous avez besoin de plus d\'espace disque de libre afin de pouvoir créer une sauvegarde."
"You need more permissions to create a backup.","Vous avez besoin de plus d\'autorisations pour créer une sauvegarde."
Backups,Sauvegardes
Tools,Outils
Backup,Sauvegarde
failed,échec
successful,réussi
"You deleted the selected backup(s).","Vous avez supprimé la ou les sauvegardes sélectionné."
"Please correct the password.","Veuillez corriger le mot de passe."
"To complete the rollback, please deselect ""Put store into maintenance mode"" or update your permissions.","Pour terminer la restauration, veuillez décocher la case ""Mettre le magasin en mode de maintenance"" ou bien veuillez mettre à jour vos autorisations."
"Failed to validate FTP.","Echec de la validation FTP."
"You need more permissions to perform a rollback.","Vous avez besoin de plus d\'autorisations pour effectuer une restauration."
"Failed to rollback.","Échec de la restauration."
Database,"Base de données"
"Database and Media","Base de données et Média"
"System (excluding Media)","Système (sans les médias)"
"You created the system backup.","Vous avez créé la sauvegarde du système."
"You created the system backup (excluding media).","Vous avez créé la sauvegarde du système. (sans les médias)"
"You created the database and media backup.","Vous avez créé la sauvegarde de la base de données et des médias."
"You created the database backup.","Vous avez créé la sauvegarde de la base de données."
"Please correct the order of creation for a new backup.","Veuillez corriger l\'ordre de la création pour une nouvelle sauvegarde."
"The backup file does not exist.","Il n\'existe pas le fichier de sauvegarde."
"The backup file path was not specified.","Le chemin de sauvegarde du fichier n\'a pas été spécifié."
"The backup file ""%1"" does not exist.","Le fichier de sauvegarde ""%1"" n\'existe pas."
"Sorry, but we cannot read from or write to backup file ""%1"".","Désolé, mais nous ne pouvons pas lire ou écrire dans le fichier de sauvegarde ""%1""."
"The backup file handler was unspecified.","Le gestionnaire de fichier de sauvegarde n\'a pas été précisée."
"Something went wrong while writing to the backup file ""%1"".","Une erreur s\'est produite lors de l\'écriture du fichier de sauvegarde ""%1""."
"You will lose any data created since the backup was made, including admin users, customers and orders.","Vous perdrez toutes les données créées depuis la sauvegarde qui a été effectuée, y compris les utilisateurs d\'administration, les clients et les commandes."
"Are you sure you want to continue?","Êtes vous sur de vouloir continuer?"
"This may take a few moments.","Ceci peut prendre quelques instants."
"Be sure your store is in maintenance mode during backup.","Soyez sûr que votre magasin est en mode de maintenance lors de la sauvegarde."
"Backup Name","Nom de la sauvegarde"
"Please use only letters (a-z or A-Z), numbers (0-9) or spaces in this field.","Veuillez utiliser uniquement des lettres (a-z), des chiffres (0-9) ou des espaces dans ce champ."
"Maintenance mode","Mode de maintenance"
"Please put your store into maintenance mode during backup.","Veuillez mettez votre magasin en mode de maintenance lors de la sauvegarde."
Exclude,Exclure
"Exclude media folder from backup","Exclure le dossier media de la sauvegarde"
"Please enter the password to confirm rollback.","Veuillez entrez le mot de passe pour confirmer le retour en arrière (rollback)."
"This action cannot be undone.","Cette action ne peut pas être annulée."
"User Password","Mot de passe utilisateur"
"Please put your store into maintenance mode during rollback processing.","Veuillez mettez votre magasin en mode de maintenance au cours du traitement de retour en arrière."
FTP,FTP
"Use FTP Connection","Utiliser une connexion FTP"
"FTP credentials","Informations de connexion FTP"
"FTP Host","Hôte FTP"
"FTP Login","Login FTP"
"FTP Password","Mot de passe FTP"
"Magento root directory","Répertoire racine de Magento"
"Create Backup","Créer une sauvegarde"
"Scheduled Backup Settings","Paramètres de sauvegarde programmée"
"Enable Scheduled Backup","Activer la sauvegarde programmée"
"Backup Type","Type de sauvegarde"
"Start Time","Heure de début"
Frequency,Fréquence
"Maintenance Mode","Mode de maintenance"
"Are you sure you want to delete the selected backup(s)?","Êtes-vous sûr de vouloir effacer les sauvegardes sélectionnées ?"
Size(bytes),"Taille (octets)"
Rollback,"Retour en arrière (rollback)"
