"Percent Discount","Remise en pourcentage"
"-- Select --","-- Votre choix --"
Dynamic,Dynamique
Fixed,Fixé
"Create New Option","Créer une nouvelle option"
"Bundle Items","Articles packagés"
"Add Products to Option","Ajouter des produits à l'option"
"Delete Option","Supprimer cette option"
"What are you looking for?","Que recherchez-vous ?"
ID,ID
SKU,Réf.
"Use Default Value","Utiliser la valeur par défaut"
"There is no defined renderer for ""%1"" option type.","Il n'y a pas de générateur d'affichage pour le type d'option ""%1""."
"Only implemented for bundle product","Uniquement implémenté pour les produits packagés"
"Product with specified sku: ""%1"" is not a bundle product","Le produit avec le SKU ""%1"" n'est pas un produit packagé"
"Bundle product could not contain another composite product","Un produit packagé ne peut pas contenuir un autre produit composite"
"Id field of product link is required","Le champ ID pour lier le produit est obligatoire"
"Can not find product link with id ""%1""","Impossible de trouver le produit à lier avec l'ID ""%1"""
"Could not save child: ""%1""","Impossible d'enregistrer l'enfant : ""%1"""
"Product with specified sku: ""%1"" does not contain option: ""%2""","Le produit avec le SKU ""%1"" ne contient pas l'option ""%2"""
"Child with specified sku: ""%1"" already assigned to product: ""%2""","L'enfant avec le SKU ""%1"" est déjà assigné au produit ""%2"""
"Product with specified sku: %1 is not a bundle product","Le produit avec le SKU %1 n'est pas un produit packagé"
"Cannot delete option with id %1","Impossible de supprimer l'option d'ID %1"
"Could not save option","Impossible d'enregistrer l'option"
"As Low as","À partir de"
"Price Range","Tranche de prix"
"Please specify product option(s).","Veuillez préciser la ou les options de produits."
"The options you selected are not available.","Les options sélectionnés ne sont pas disponibles."
"The required options you selected are not available.","Les options requises sélectionnées ne sont pas disponibles."
"Please select all required options.","Veuillez sélectionner les options obligatoires."
N/A,N/A
Percent,Pourcent
None,Aucun
Quantity:,"Quantité : "
"Choose a selection...","Choisissez une sélection..."
"Ship Bundle Items","Livrer les articles packagés"
Separately,Séparément
Together,Ensemble
"Option Title","Titre de l'option"
"Store View Title","Titre de la vue magasin"
"Input Type","Type de saisie"
Required,Obligatoire
Position,Position
"There are no products in this option.","Il n'y a pas de produit pour cette option."
"New Option","Nouvelle option"
Default,"Par défaut"
"Price Type","Type de prix"
"Default Quantity","Quantité par défaut"
"User Defined","Défini par le client"
Ordered,Commandé
Invoiced,Facturé
Shipped,Livré
Refunded,Remboursé
Canceled,Annulée
"As low as","À partir de"
"Regular Price","Prix normal"
"Buy %1 with %2 discount each","Achetez-en %1 et profitez d'une remise de %2 par produit"
"Go back to product details","Retour aux détails du produit"
"Customize and Add to Cart","Personnaliser et ajouter au panier"
"Your Customization","Votre personnalisation"
Availability,Disponibilité
"In stock","En stock"
"Out of stock",Épuisé
Summary,Résumé
"%1 x %2","%1 x %2"
Availability:,"Disponibilité :"
"Customize %1","Personnaliser %1"
"No options of this product are available.","Aucune option n'est disponible pour ce produit."
"Gift Message","Message du cadeau"
From:,"De :"
To:,"À :"
Message:,"Message :"
"Product Name","Nom du produit"
Subtotal,Sous-total
"Discount Amount",Remise
"Row Total","Total ligne"
"Qty Invoiced","Qté facturée"
"Qty Shipped","Qté livrée"
"Add Products to New Option","Ajouter les produits à la nouvelle option"
"Add Products to Option ""%1""","Ajouter les produits à l'option ""%1"""
"Add Selected Products","Ajouter les produits sélectionnés"
