Root,Racine
"Save Category","Enregistrer la catégorie"
"Delete Category","Supprimer cette catégorie"
"New Subcategory","Nouvelle sous-catégorie"
"New Root Category","Nouvelle catégorie racine"
"Set Root Category for Store","Définir la catégorie racine pour le magasin"
"Use Config Settings","Utiliser les paramètres de la configuration"
"Use All Available Attributes","Utiliser tous les attributs disponibles"
"Category Data","Données de catégorie"
"Category Products","Catégorie de Produits"
"Add Subcategory","Ajouter une sous-catégorie"
"Add Root Category","Ajouter une catégorie racine"
Day,Jour
"<label class=""label""><span>from</span></label>","<label class=""label""><span>du</span></label>"
"<label class=""label""><span>to</span></label>","<label class=""label""><span>au</span></label>"
[GLOBAL],[GLOBAL]
[WEBSITE],"[SITE WEB]"
"[STORE VIEW]","[VUE MAGASIN]"
"WYSIWYG Editor","Éditeur WYSIWYG"
"Add Product","Ajouter un produit"
label,libellé
"Product Attributes","Attributs de produit"
"Add New Attribute","Ajouter un attribut"
"Save in New Attribute Set","Enregistrer un Nouvel ensemble d'attributs"
"Enter Name for New Attribute Set","Entrez un nom pour le Nouvel ensemble d'attributs"
"Save Attribute","Enregistrer l'attribut"
"Delete Attribute","Supprimer l'attribut"
"Edit Product Attribute ""%1""","Modifier l'attribut de produit ""%1"""
"New Product Attribute","Nouvel attribut de produit"
"Advanced Attribute Properties","Propriétés des attributs avancée"
"Attribute Code","Code attribut"
"Default Value","Valeur par défaut"
"Unique Value","Valeur unique"
"Unique Value (not shared with other products)","Valeur unique (non partagée avec les autres produits)"
"Not shared with other products","Non partagé avec les autres produits"
"Input Validation for Store Owner","Validation requise"
"Add to Column Options","Ajouter aux options de colonne"
"Select ""Yes"" to add this attribute to the list of column options in the product grid.","Sélectionnez ""Oui"" pour ajouter cet attribut à la liste des options de colonne de la grille produit."
"Use in Filter Options","Utiliser dans les Options de filtrage "
"Select ""Yes"" to add this attribute to the list of filter options in the product grid.","Sélectionnez ""Oui"" pour ajouter cet attribut à la liste des options de filtre dans la grille produit."
Website,"Site web"
Global,GLOBAL
Scope,Portée
"Declare attribute value saving scope","Déclarer le placement de la valeur d'attribut sauvegarder"
"Storefront Properties","Propritétés du front office"
"Use in Search","Utilisez dans Recherche"
"Visible in Advanced Search","Visible dans Recherche avancée"
"Comparable on Storefront","Comparable sur le magasin"
"Use for Promo Rule Conditions","Utiliser pour les conditions de règles de promotions"
"Enable WYSIWYG","Activer l'éditeur WYSIWYG"
"Allow HTML Tags on Storefront","Permettre les balises HTML sur le magasin"
"Visible on Catalog Pages on Storefront","Visible sur les pages du catalogue magasin"
"Used in Product Listing","Utiliser dans les listes de produits"
"Depends on design theme","Dépend du thème de conception"
"Used for Sorting in Product Listing","Utiliser pour le tri des listes produits"
"Media Image",Image
Gallery,Galerie
"System Properties","Propriétés système"
"Data Type for Saving in Database","Type de données à sauvegarder dans la base de données"
Text,Texte
Varchar,"Champ de caractères variables"
Static,Statique
Datetime,"Date et heure"
Decimal,Décimal
Integer,Entier
"Globally Editable","Éditable globalement"
"Attribute Information","Informations attributs"
Properties,Propriétés
"Manage Labels","Gestionnaire libellé"
Visible,Visible
Searchable,"Utiliser dans la recherche"
Comparable,Comparable
"Delete Selected Group","Supprimer le groupe sélectionné"
"You are about to delete all products in this attribute set. Are you sure you want to do that?","Vous êtes sur le point de supprimer tous les produits dans cet attribut. Êtes-vous sûr de vouloir faire ça?"
"New Set Name","Nouveau nom de groupe"
"Edit Attribute Set '%1'","Modifier le jeu d'attributs '%1'"
Empty,Vide
"Add Attribute","Ajouter un attribut"
"Add New Group","Nouveau groupe"
"Add Group","Ajouter un groupe"
"Edit Attribute Set Name","Modifier le nom du groupe d'attribut"
"For internal use","Pour usage interne"
"Based On","Basé sur"
"Add New Attribute Set","Nouveau groupe d'attributs"
"Add Attribute Set","Ajouter un groupe d'attribut"
"Attribute Sets","Groupes d'attributs"
"Close Window","Fermer la fenêtre"
"New Product","Nouveau produit"
"Save & Edit","Enregistrer et Modifier"
"Save & New","Enregistrer et Nouveau"
"Save & Duplicate","Enregistrer et Dupliquer"
"Save & Close","Enregistrer et Fermer"
Attributes,Attributs
Change,Modifier
"Advanced Inventory","Inventaire avancée"
"Products Information","Informations produits"
"Category Name","Nom de catégorie"
"Parent Category","Catégorie parente"
"If there are no custom parent categories, please use the default parent category. You can reassign the category at any time in <a href=""%1"" target=""_blank"">Products > Categories</a>.","Si il n'y a pas de sous-catégorie personnalisé, veuillez utiliser la catégorie racine par défaut. Vous pouvez réaffecter la catégorie à tout moment dans <a href=""%1"" target=""_blank""> Produits > Catégories </a>."
"We saved the price alert subscription.","Nous avons enregsitré votre abonnement concernant l'alerte de ce prix."
"We saved the stock notification.","Nous avons enregistré la notification de stock."
"There are no customers for this alert.","Aucun client pour cette alerte."
"Subscribe Date","Date d'abonnement"
"Last Notified","Dernière notification"
"Send Count","Nombre d'envois"
"New Attribute","Nouvel attribut"
Visibility,Visibilité
"Add New Option","Ajouter une option"
"Import Options","Options d'import"
"Use Default","Utiliser la valeur par défaut"
Import,Importer
"Add New Row","Ajouter une nouvelle ligne"
"Delete Row","Supprimer la ligne"
"Tier Pricing","Tarification par palier"
"Default Price","Prix par défaut"
"Add Price","Ajouter un Prix"
"Default Values","Valeurs par défaut"
"Related Products","Produits apparentés"
Up-sells,"Ventes incitatives"
Cross-sells,"Ventes croisées"
"Size for %1","Taille pour %1"
"Watermark File for %1","Fichier de filigrane pour %1"
"Position of Watermark for %1","Position du filigrane pour %1"
"Name in %1","Nom dans %1"
"Change Status","Changer le statut"
"Update Attributes","Mettre à jour les attributs"
"Images and Videos","Images et vidéos"
"Click here or drag and drop to add images.","Cliquez ici ou glisser-déposer pour ajouter des images."
"Delete image","Supprimer l'image"
"Make Base","Fabriquer la base"
Hidden,Caché
"start typing to search category","commencez à taper pour rechercher une catégorie"
"New Category","Nouvelle catégorie"
"Add New Images","Nouvelles images"
"Inc. Tax",TTC
"Does this have a weight?","Quel est le poids ?"
"Notify Low Stock RSS","Notification RSS lorsque le Stock est bas"
"Low Stock Products","Produits ayant un faible niveau de stock"
"%1 has reached a quantity of %2.","%1 ayant atteint la quantité de %2."
"Subscribe to RSS Feed","S'abonner au flux RSS"
"Products Comparison List","Liste de comparaison de produits"
AM,AM
PM,PM
"New Products from %1","Nouveaux produits de %1"
"New Products","Nouveaux produits"
"%1 - Special Products","%1 - Produits en promotion"
"Click for price","Cliquez pour afficher le prix"
"Special Expires On: %1","Prix promotionnel jusqu'au : %1"
"Price: %1","Prix : %1"
"Special Price: %1","Prix promotionnel : %1"
"Special Products","Produits promotionnels"
"You deleted the category.","Vous avez supprimé la catégorie."
"Something went wrong while trying to delete the category.","Une erreur s'est produite lors de la suppression de la catégorie."
Categories,Catégories
"Manage Catalog Categories","Gérer les catégories du catalogue"
"Manage Categories","Gérer les catégories"
"Category is not available for requested store.","La catégorie n'est pas disponible pour le magasin demandé."
"There was a category move error.","Il y a eu une erreur lors du déplacement de la catégorie."
"There was a category move error. %1","Il y a eu une erreur lors du déplacement de la catégorie.%1"
"You moved the category","Vous avez déplacé la catégorie"
"Attribute ""%1"" is required.","L'attribut ""%1"" est requis."
"Something went wrong while saving the category.","Une erreur s'est produite lors de l'enregistrement de la catégorie."
"You saved the category.","Vous avez enregistré la catégorie."
"Please select products for attributes update.","Veuillez sélectionner des produits pour la mise à jour des attributs."
"Please make sure to define SKU values for all processed products.","Veuillez assurez-vous de définir les valeurs de REF pour tous les produits transformés."
"A total of %1 record(s) were updated.","Un total de %1 enregistrement(s) mis à jour."
"Something went wrong while updating the product(s) attributes.","Une erreur s'est produite lors de la mise à jour d'attribut de produit(s)."
"Manage Product Attributes","Gérer les attributs produit"
"You deleted the product attribute.","Vous avez supprimé l'attribut du produit."
"This attribute no longer exists.","Cet attribut n'existe plus."
"This attribute cannot be edited.","Cet attribut ne peut pas être modifié."
