"ALL GROUPS","TOUS LES GROUPES"
"Customer Group","Groupe de clients"
"Minimum Qty","Quantité mini"
"Add Minimum Qty","Ajouter une quantité mini"
"Could not rebuild index for empty products array","Impossible de reconstruire l\'index pour un tableau de produit vide"
"The stock item for Product is not valid.","L\'article en stock pour ce produit n\'est pas valide."
"This product is out of stock.","Ce produit est en rupture de stock."
"Some of the products are out of stock.","Certains de ces produits sont en rupture de stock."
"The stock item for Product in option is not valid.","L\'article en stock pour cette option du produit n\'est pas valide."
"Undefined product type","Type de produit indéfini"
"%1 is not a correct comparison method.","%1 n\'est pas une méthode de comparaison correct."
"No Backorders","Pas de commandes au delà des stocks"
"Allow Qty Below 0","Autoriser les quantités négatives"
"Allow Qty Below 0 and Notify Customer","Autoriser les quantités négatives et prévenir le client"
"In Stock","En stock"
"Out of Stock",Épuisé
"Stock Item with id ""%1"" does not exist.","L\'élément de stock avec l\'ID ""%1"" n\'existe pas."
"Stock with id ""%1"" does not exist.","Le stock d\'ID ""%1"" n\'existe pas."
"Not all of your products are available in the requested quantity.","Tous vos produits ne sont pas disponibles dans la quantité demandée."
"Product with SKU ""%1"" does not exist","Le produit avec la REF ""%1"" d\'existe pas."
"The fewest you may purchase is %1.","La quantité minimale que vous pouvez acheter est de %1."
"Please correct the quantity for some products.","Veuillez corriger la quantité de certains produits."
"The most you may purchase is %1.","La quantité maximale que vous pouvez acheter est de %1."
"You can buy %1 only in quantities of %2 at a time.","Vous pouvez acheter %1 uniquement par quantité de %2."
"You can buy this product only in quantities of %1 at a time.","Vous pouvez acheter ce produit uniquement par quantité de %1."
"Decimal qty increments is not allowed.","Les incréments de quantités ne peuvent pas être une valeur décimale."
"%1 is available to buy in increments of %2","%1 doit être acheté par multiple de %2."
"Only %1 left","Plus que %1 en stock"
"Product availability","Disponibilité des produits"
Qty,Qté
Inventory,Inventaire
"Stock Options","Options de stock"
"Decrease Stock When Order is Placed","Décrémenter le stock quand la commande est validée"
"Set Items' Status to be In Stock When Order is Cancelled","Passer le statut des articles à ""Disponible"" quand une commande est annulée"
"Display Out of Stock Products","Afficher les produits épuisés"
"Products will still be shown by direct product URLs.","Les produits seront accessibles directement par leurs URLs."
"Only X left Threshold","Seuil pour afficher \'Plus que X produits restant\'"
"Display products availability in stock on Storefront.","Afficher la disponiblité des produits sur le front office."
"Product Stock Options","Options de stock de produits"
"Automatically Return Credit Memo Item to Stock","Remettre automatiquement en stock un article faisant l\'objet d\'un avoir"
Stock,Stock
"Index stock","Indexe du stock"
