"Catalog Price Rule","Règle de prix catalogue"
"Add New Rule","Ajouter une nouvelle règle"
"Apply Rules","Appliquer les règles"
"Save and Apply","Enregistrer et appliquer"
"Save and Continue Edit","Enregistrer et continuer à modifier"
"Edit Rule '%1'","Modifier la règle \'%1\'"
"New Rule","Nouvelle règle"
"Rule Information","Informations règle"
"Pricing Structure Rules","Règles d\'application des prix"
Apply,Appliquer
"Apply as percentage of original","En pourcentage du prix d\'origine"
"Apply as fixed amount","Remise d\'un montant fixe"
"Adjust final price to this percentage","Pourcentage du prix original"
"Adjust final price to discount value","Nouveau prix en montant fixe"
"Subproduct discounts","Activer les remises sur les sous-produits"
"Discard subsequent rules","Ignorer les règles suivantes"
Conditions,Conditions
"General Information","Informations générales"
"Rule Name","Nom de la règle"
Description,Description
Active,Actif
Inactive,Inactif
Websites,"Sites web"
"Customer Groups","Groupes clients"
Priority,Priorité
"Attribute Set","Jeu d\'attributs"
Promotions,Promotions
"We found updated rules that are not applied. Please click ""Apply Rules"" to update your catalog.","Certaines règles mises à jour n\'ont pas été appliquées. Veuillez cliquer sur ""Appliquer les règles"" pour mettre à jour le catalogue."
"You deleted the rule.","Règle supprimée."
"This rule no longer exists.","Cette règle n\'existe plus."
"New Catalog Price Rule","Nouvelle règle de prix catalogue"
"Edit Rule","Modifier la règle"
"Wrong rule specified.","Mauvaise règle spécifiée."
"You saved the rule.","Règle enregistrée."
"Something went wrong while saving the rule data. Please review the error log.","Une erreur s\'est produite lors de l\'enregistrement des données de la règle. Veuillez vérifer le journal des erreurs."
Promo,Promo
"Percentage discount should be between 0 and 100.","La réduction en pourcentage doit être comprise entre 0 et 100."
"Discount value should be 0 or greater.","La valeur de la réduction doit être supérieure à 0."
"Unknown action.","Action inconnue."
"Update the Product","Mettre à jour le produit"
"Rule price","Règle de prix"
"To Fixed Value","Nouveau prix"
"To Percentage","Nouveau prix en %%"
"By Fixed value","Remise d\'une valeur fixe"
"By Percentage","Remise en %%"
"Conditions Combination","Combinaison de conditions"
"Product Attribute","Attribut du produit"
"Updated rules applied.","Mise à jour des règles appliquée."
"You disabled %1 Catalog Price Rules based on ""%2"" attribute.","La règle de prix catalogue %1 a été désactivée car elle est basée sur l\'attribut ""%2""."
"Catalog Rule Product","Règles catalogue du produit"
"Indexed rule/product association","Indexe des associations règles catalogue/produit"
"Catalog Product Rule","Produits de la règle catalogue"
"Indexed product/rule association","Indexe des associations produits/règle catalogue"
