"Static Blocks","Blocs statiques"
"Add New Block","Ajouter un nouveau bloc"
"Save Block","Enregistrer le bloc"
"Delete Block","Supprimer le bloc"
"Edit Block '%1'","Modifier le bloc '%1'"
"New Block","Nouveau bloc"
"Block Title","Titre du bloc"
Identifier,Identifiant
"Manage Pages","Gestion des pages"
"Add New Page","Ajouter une nouvelle page"
"Save Page","Enregistrer la page"
"Delete Page","Supprimer la page"
"Edit Page '%1'","Modifier la page '%1'"
"New Page","Nouvelle page"
"Content Heading","Titre du contenu"
"Page Layout","Agencement de page"
Layout,Agencement
"Layout Update XML","XML de mise à jour d'agencement"
"Custom Design From","Design personnalisé à partir du"
"Custom Design To","Design personnalisé jusqu'au"
"Custom Theme","Thème personnalisé"
"Custom Layout","Agencement personnalisé"
"Custom Layout Update XML","XML de mise à jour de l'agencement personnalisé"
Design,Design
"Page Information","Informations de la page"
"Page Title","Titre de page"
"URL Key","Clé d'URL"
"Relative to Web Site Base URL","Relative à l'URL du site Web de base"
"Page Status","Statut de la page"
"Meta Data","Données meta"
Keywords,"Mots clés"
"Meta Keywords","Mots-clés meta"
"Meta Description","Méta description"
Created,Créée
Modified,Modifié
Preview,Prévisualiser
"Media Storage","Stockage des medias"
"Create Folder...","Créer un dossier..."
"Delete Folder","Supprimer le dossier"
"Delete File","Supprimer le fichier"
"Insert File","Insérer le fichier"
"New Folder Name:","Nouveau nom de dossier :"
"Are you sure you want to delete this folder?","Êtes-vous sûr de vouloir supprimer ce dossier?"
"Are you sure you want to delete this file?","Êtes-vous sûr de vouloir supprimer ce fichier?"
"Images (%1)","Images (%1)"
"Storage Root","Racine du stockage"
CMS,CMS
"You deleted the block.","Vous avez supprimé le bloc."
"This block no longer exists.","Ce bloc n'existe plus."
"Edit Block","Modifier le bloc"
Blocks,Blocs
"You saved the block.","Vous avez enregistré le bloc."
"The page has been deleted.","La page a bien été supprimée."
"This page no longer exists.","Cette page n'existe plus."
"Edit Page","Modifier la page"
Pages,Pages
"Something went wrong while saving the page.","Une erreur s'est produite lors de l'enregistrement de la page."
"A total of %1 record(s) have been disabled.","Un total de %1 enregistrement(s) désactivé(s)."
"A total of %1 record(s) have been enabled.","Un total de %1 enregistrement(s) activé(s)."
"To apply changes you should fill in hidden required ""%1"" field","Pour appliquer les modifications vous devez remplir le champ caché obligatoire  ""%1"""
"You saved this page.","Vous avez enregistré cette page."
"The directory %1 is not writable by server.","Le répertoire %1 n'a pas les droits d'écriture sur le serveur web."
"Make sure that static block content does not reference the block itself.","Assurez-vous que le contenu de bloc statique ne référence pas le bloc lui-même."
"CMS Block with id ""%1"" does not exist.","Le bloc CMS avec id ""%1"" n'existe pas."
"Enabled by Default","Activé par défaut"
"Disabled by Default","Désactivé par défaut"
"Disabled Completely","Désactivé complètement"
"CMS Page with id ""%1"" does not exist.","La page CMS avec id ""%1"" n'existe pas."
"A block identifier with the same properties already exists in the selected store.","Il existe déjà un identifiant de bloc ayant les mêmes propriétés dans le magasin sélectionnée."
"The page URL key contains capital letters or disallowed symbols.","La clé URL de page contient des lettres majuscules ou des symboles non autorisés."
"The page URL key cannot be made of only numbers.","La clé URL de la page ne peut pas être faite uniquement de chiffres."
"Please rename the folder using only letters, numbers, underscores and dashes.","Veuillez renommer le dossier à l'aide des lettres, des chiffres, des caractères de soulignement et des tirets."
"We found a directory with the same name. Please try another folder name.","Nous avons trouvé un répertoire avec le même nom. Veuillez essayer un autre nom de dossier."
"We cannot create a new directory.","Nous ne pouvons pas créer un nouveau répertoire."
"We cannot delete directory %1.","Nous ne pouvons pas supprimer le répertoire %1."
"Directory %1 is not under storage root path.","Répertoire %1 n'est pas un chemin d'accès à la racine de stockage."
LocalizedException,LocalizedException
RuntimeException,RuntimeException
Exception,Exception
"Could not create directory.","Impossible de créer le répertoire."
"Delete ${ $.$data.title }","Supprimer ${ $.$data.title }"
Details,Détails
"Delete ""${ $.$data.title }""","Supprimer ""${ $.$data.title }"""
"No files found","Aucun fichier trouvé"
"CMS Home Page","Page d'accueil CMS"
"CMS No Route Page","Page CMS de ressource non trouvée"
"CMS No Cookies Page","Page CMS quand les cookies sont désactivés"
"Show Breadcrumbs for CMS Pages","Afficher le fil d'Ariane pour les pages CMS"
"Browser Capabilities Detection","Détection des capacités du navigateur"
"Redirect to CMS-page if Cookies are Disabled","Rediriger vers la page CMS si les cookies sont désactivés"
"Show Notice if JavaScript is Disabled","Afficher un message si javascript est désactivé"
"Show Notice if Local Storage is Disabled","Afficher un message si le stockage local est désactivé"
"Content Management","Gestion du contenu"
"WYSIWYG Options","Options WYSIWYG"
"Enable WYSIWYG Editor","Activer l'éditeur WYSIWYG"
"CMS Page Link","Lien Page CMS"
"Link to a CMS Page","Lien vers une page CMS"
"CMS Page","Page CMS"
"Select Page...","Choisissez la page..."
"If empty, the Page Title will be used","Si vide, le titre de page sera utilisé"
"CMS Page Link Block Template","Gabarit du bloc lien page CMS"
"CMS Page Link Inline Template","Gabarit du bloc lien en ligne CMS"
"CMS Static Block","Bloc statique CMS"
"Contents of a Static Block","Contenu d'un bloc statique"
Block,Bloc
"Select Block...","Sélectionnez un bloc..."
"CMS Static Block Default Template","Gabarit par défaut du bloc statique CMS"
"Are you sure you wan't to delete selected items?","Êtes-vous sûr de vouloir supprimer les éléments sélectionnés?"
"Custom design from","Design personnalisé à partir du"
"Custom design to","Design personnalisé jusqu'au"
