"Default Config","Configuration par défaut"
"Save Config","Enregistrer la configuration"
"Use Website","Valeur du site web"
Add,Ajouter
"Search String","Chaîne de recherche"
"Design Theme","Thème de design"
"Add \Exception","Ajouter \Exception"
"-- No Theme --","-- Aucun thème --"
Configuration,Configuration
"You saved the configuration.","Vous avez enregistré la configuration."
"Something went wrong while saving this configuration:","Une erreur s\'est produite lors de l\'enregistrement de cette configuration:"
"Please specify the admin custom URL.","Veuillez spécifier l\'URL d\'administration personnalisé."
"Invalid %1. %2","Invalide %1. %2"
"Value must be a URL or one of placeholders: %1","La valeur doit être une URL ou un des emplacements: %1"
"Specify a URL or path that starts with placeholder(s): %1, and ends with ""/"".","Spécifiez une URL ou un chemin qui commence par ceci: %1, et se termine par ""/""."
"%1 An empty value is allowed as well.","%1 Une valeur vide est autorisé aussi."
"Specify a fully qualified URL.","Spécifiez une URL entièrement qualifié."
"Selected allowed currency ""%1"" is not available in installed currencies.","La devise autorisée choisie ""%1"" n\'est pas disponible dans les devises installées."
"Default display currency ""%1"" is not available in allowed currencies.","La devise d\'affichage par défaut ""%1"" n\'est pas disponible dans les devises autorisées."
"Sorry, the default display currency you selected is not available in allowed currencies.","Désolé, la devise d\'affichage par défaut que vous avez sélectionné n\'est pas disponible dans l\'autorisation des devises."
"Please correct the email address: ""%1"".","Veuillez corriger l\'adresse e-mail: ""%1""."
"The sender name ""%1"" is not valid. Please use only visible characters and spaces.","Le nom de l\'expéditeur ""%1"" n\'est pas valide. Veuillez utilisez uniquement des caractères simples et des espaces."
"Maximum sender name length is 255. Please correct your settings.","Longueur maximale du nom de l\'expéditeur est de 255. Veuillez corriger vos paramètres."
"The base directory to upload file is not specified.","Le répertoire de base pour envoyer l\'image n\'est pas spécifié."
"The specified image adapter cannot be used because of: %1","L\'adaptateur d\'image spécifié ne peut pas être utilisé en raison de : %1"
"Default scope","Portée par défaut"
"Base currency","Devise de base"
"Display default currency","Afficher la devise par défaut"
"website(%1) scope","portée du site web (%1)"
"store(%1) scope","portée du magasin (%1)"
"Currency ""%1"" is used as %2 in %3.","La devise ""%1"" est utilisée comme %2 dans %3."
"Please correct the timezone.","Veuillez corriger le fuseau horaire."
"The file ""%1"" does not exist","Le fichier ""%1"" n\'existe pas."
"Always (during development)","Toujours (pendant le developpement)"
"Only Once (version upgrade)","Une fois seulement (mise à jour de version)"
"Never (production)","Jamais (en production)"
Bcc,"Copie carbone invisible"
"Separate Email","E-mail séparé"
"%1 (Default)","%1 (Défaut)"
title,titre
Optional,Facultatif
"HTTP (unsecure)","HTTP (non sécurisé)"
"HTTPS (SSL)","HTTPS (SSL)"
"Yes (302 Found)","Oui (302 Document déplacé de façon temporaire)"
"Yes (301 Moved Permanently)","Oui (301 Document déplacé de façon permanente)"
Specified,Spécifié
"Config form fieldset clone model required to be able to clone fields","Config formulaire du modèle de clone de champs requis pour être en mesure de cloner ses champs"
some_label,some_label
some_comment,some_comment
"some prefix",some_prefix
"element label","libellé d\'élément"
"element hint","élément indication"
"element comment","élément commentaire"
"element tooltip","élément infobulle"
test,test
test2,test2
"Add after","Ajoutez après"
"Current Configuration Scope:","Portée de la configuration courante :"
"Group Label","Libellé du groupe"
"Some Label","Certains Libellé"
"Tab Label","Onglet de Libellé"
"Field 2","Champ 2"
"Field 3","Champ 3"
"Field 3.1","Champ 3.1"
"Field 3.1.1","Champ 3.1.1"
"Field 4","Champ 4"
