"Add configurable attributes to the current Attribute Set (""%1"")","Ajouter un attributs configurables au groupe d\'attribut actuel (""%1"")"
"Add configurable attributes to the new Attribute Set based on current","Ajouter un attributs configurables pour le nouveau groupe d\'attributs sur la base actuelle"
"New attribute set name","Nouveau nom du groupe d\'attribut"
"Add configurable attributes to the existing Attribute Set","Ajouter un attributs configurables au groupe d\'attribut existant"
"Choose existing Attribute Set","Choisissez un groupe d\'attribut existant"
Configurations,Configurations
"Attribute Values","Les valeurs d\'attribut"
"Bulk Images &amp; Price","Images &amp; Prix en masse"
"Create New Attribute","Créer un nouvel attribut"
"Select Attributes","Sélectionnez les Attributs"
"Choose an Option...","Choisissez une option..."
"This attribute is used in configurable products.","Cet attribut est utilisé dans les produits configurables."
"Product has been already attached","Le produit a été déjà attaché"
"Product with specified sku: %1 is not a configurable product","Produit avec Réf spécifique: %1 n\'est pas un produit configurable"
"Cannot delete variations from product: %1","Vous ne pouvez pas supprimer les variations du produit: %1"
"Cannot delete option with id: %1","Vous ne pouvez pas supprimer l\'option avec id: %1"
"Option with id ""%1"" not found","Option avec id ""%1"" n\'a pas été trouvé"
"Could not update option with id ""%1""","Impossible de mettre à jour l\'option avec id ""%1"""
"Product already has this option","Le produit a déjà cette option"
"Something went wrong while saving option.","Une erreur s\'est produite lors de l\'enregistrement de l\'option."
"Only implemented for configurable product: %1","Seulement mis en place pour le produit configurable: %1"
"Option attribute ID is not specified.","ID de l\'option d\'attribut n\'est pas spécifié."
"Option label is not specified.","Le libellé d\'option n\'est pas spécifié."
"Option values are not specified.","Les valeurs d\'option ne sont pas spécifiés."
"Value index is not specified for an option.","L\'indice de valeur n\'est pas spécifiée pour une option."
"The configurable product does not have any variation attribute.","Le produit configurable n\'a aucune variation d\'attribut."
"Product with id ""%1"" does not exist.","Produit avec id ""%1"" n\'existe pas."
"Product with id ""%1"" does not contain required attribute ""%2"".","Produit avec id ""%1"" ne contient pas l\'attribut requis ""%2""."
"Products ""%1"" and %2 have the same set of attribute values.","Produits ""%1"" et %2 ont le même groupe de valeurs d\'attributs."
"You need to choose options for your item.","Vous devez choisir des options pour votre produit."
"Some product variations fields are not valid.","Certains champs de variantes de produits ne sont pas valides."
"Configuration must have specified attributes","La configuration doit avoir des attributs spécifiques"
"Configurable product ""%1"" do not have sub-products","Produit configurable ""%1"" n\'est pas un sous-produits"
"This group contains attributes used in configurable products. Please move these attributes to another group and try again.","Ce groupe contient des attributs utilisés dans les produits configurables. Veuillez déplacer ces attributs à un autre groupe et essayez à nouveau."
"This attribute is used in configurable products. You cannot remove it from the attribute set.","Cet attribut est utilisé dans des produits configurables. Vous ne pouvez pas le supprimer de ce jeu d\'attributs."
"Associated Products","Produits associés"
"Step 2: Attribute Values","Étape 2 : valeurs d\'attribut"
"Select values from each attribute to include in this product. Each unique combination of values creates a unigue product SKU.","Sélectionnez les valeurs pour chaque attribut à inclure pour ce produit. Chaque combinaison unique de valeurs créera une unique référence produit."
"Sort Variations","Trier les variations"
Options,Options
"Deselect All","Tout désélectionner"
"Remove Attribute","Supprimer l\'attribut"
"Save Option","Enregistrer Option"
"Remove Option","Supprimer l\'option"
"Create New Value","Créez une nouvelle valeur"
"Step 3: Bulk Images, Price, and Quantity","Étape 3: Images, Prix et Quantité en masse"
"Apply single set of images to all SKUs","Appliquer seulement le groupe d\'images à toutes les REF"
"Apply unique images by attribute to each SKU","Appliquer des images uniques par attribut pour chaque REF"
"Skip image uploading at this time","Passer l\'étape d\'envois d\'images pour le moment"
"Browse to find or drag image here","Parcourir les fichiers ou bien glisser l\'image ici"
"Remove image","Supprimer l\'image"
"Edit role","Modifier le rôle"
"Select attribute","Sélectionnez l\'attribut"
Select,Sélectionnez
"Apply single price to all SKUs","Appliquer un prix unique à toutes les REF"
"Apply unique prices by attribute to each SKU","Appliquer un prix uniques par attribut à chaque REF"
"Skip price at this time","Passer cette étape du prix pour le moment"
"Apply single quantity to each SKUs","Appliquer la quantité unique à chaque REF"
"Apply unique quantity by attribute to each SKU","Appliquer la quantité unique par attribut à chaque REF"
"Skip quantity at this time","Passer l\'étape de la quantité pour le moment"
"Step 1: Select Attributes","Étape 1: Sélection des attributs"
"Selected Attributes:","Attributs sélectionnés:"
"Step 4: Summary","Étape 4: Résumé"
"Edit Configurations","Modifications Configurations"
"Create Configurations","Créer des configurations"
"Add Products Manually","Ajouter les produits manuellement"
"Current Variations","Variations actuelles"
Image,Image
Weight,Poids
"Upload Image","Envois l\'Image"
"Upload image","Envois l\'image"
"No Image","Pas d\'image"
"Choose a different Product","Choisissez un autre produit"
"Create Product Configurations","Créer des configurations de produit"
