"Invalid domain name: %1","Nom de domaine invalide : %1"
"Invalid cookie lifetime: %1","Durée de vie du cookie invalide : %1"
"Invalid cookie path","Chemin du cookie invalide"
"We use cookies to make your experience better.","Nous utilisons les cookies pour vous offrir une meilleure expérience utilisateur."
"To comply with the new e-Privacy directive, we need to ask for your consent to set the cookies.","Pour se conformer à la nouvelle directive concernant la vie privée, nous devons vous demander votre consentement pour enregistrer des cookies sur votre ordinateur."
"<a href=""%1"">Learn more</a>.","<a href=""%1"">En savoir +</a>."
"Allow Cookies","Autoriser les cookies"
"Default Cookie Settings","Paramètres par défaut des cookies"
"Cookie Lifetime","Durée de vie des cookies"
"Cookie Path","Chemin du cookie"
"Cookie Domain","Domaine du cookie"
"Use HTTP Only","Utiliser uniquement HTTP"
"Cookie Restriction Mode","Mode de restriction de cookie"
