"Sign In",Connexion
"You subscribe to our newsletter.","Abonnez-vous à notre newsletter."
"You have not set a default shipping address.","Veuillez définir un adresse de livraison par défaut."
"You have not set a default billing address.","Veuillez définir une adresse de facturation par défaut."
"Address Book","Carnet d\'adresses"
"Edit Address","Modifier l\'adresse"
"Add New Address","Ajouter une nouvelle adresse"
region,région
"Create Order","Créer une commande"
"Save Customer","Enregistrer le client"
"Delete Customer","Supprimer le client"
"Reset Password","Réinitialiser le mot de passe"
"Are you sure you want to revoke the customer\'s tokens?","Êtes-vous sûr de vouloir révoquer les avis des clients?"
"Force Sign-In","Révoquer les jetons"
"New Customer","Nouveau client"
"Please select","Veuillez sélectionner"
Configure,Configurer
"Shopping Cart from %1","Panier de %1"
Newsletter,Newsletter
"Newsletter Information","Informations newsletter"
"Subscribed to Newsletter","Abonné à la Newsletter"
"Last Date Subscribed","Date de dernière inscription"
"Last Date Unsubscribed","Date de dernière désinscription"
"No Newsletter Found","Pas de newsletter"
"Start date","Date de début"
"End Date","Date de fin"
"Receive Date","Date de réception"
Subject,Sujet
Sent,Envoyé
"Not Sent","Pas envoyé"
Sending,"Envoi en cours"
Paused,Arrêté
View,Voir
Unknown,Inconnu
Purchased,Acheté
"Bill-to Name","Nom de facturation"
"Ship-to Name","Nom de livraison"
"Order Total","Total de la commande"
"Purchase Point","Acheté sur (Magasin)"
Confirmed,Confirmé
"Confirmation Required","Confirmation requise"
"Confirmation Not Required","Confirmation non requise"
Indeterminate,Indéterminé
"The customer does not have default billing address.","Le client n\'a pas d\'adresse de facturation par défaut."
Offline,Déconnecté
Online,"En ligne"
Never,Jamais
"Deleted Stores","Magasins effacés"
"Add Locale","Vue magasin"
"Add Date","Date de création"
"Days in Wish List","Nbr de jour dans la liste d\'envies"
Download,Télécharger
"Delete Image","Effacer l\'image"
"View Full Size","Voir en taille réelle"
"All countries","Tous les pays"
"Add New Customer Group","Ajouter un nouveau groupe de clients"
"Save Customer Group","Enregistrer le groupe clients"
"Delete Customer Group","Supprimer le groupe de clients"
"New Customer Group","Nouveau groupe de clients"
"Edit Customer Group ""%1""","Modifier le groupe clients ""%1"""
"Group Information","Informations du groupe"
"Group Name","Nom du groupe"
"Maximum length must be less then %1 symbols","La longueur maximale est de %1 symboles"
"Tax Class","Classe de TVA"
"The customer is now assigned to Customer Group %s.","Le client est maintenant assigné au Groupe de client %s."
"Would you like to change the Customer Group for this order?","Souhaitez-vous changer le groupe client pour cette commande ?"
"The VAT ID is valid.","Le numéro de TVA INTRA est valide."
"The VAT ID entered (%s) is not a valid VAT ID.","Le numéro de TVA saisi (%s) n\'est pas un numéro de TVA INTRA valide."
"The VAT ID is valid. The current Customer Group will be used.","Le numéro de TVA INTRA est valide. Le groupe client en cours sera utilisé."
"The VAT ID is valid but no Customer Group is assigned for it.","Le numéro de TVA INTRA est valide, mais le client n\'est pas dans un groupe client qui lui est attribué."
"Based on the VAT ID, the customer belongs to the Customer Group %s.","Basé sur le numéro de TVA intracommunautaire, le client appartient au groupe client %s."
"Something went wrong while validating the VAT ID.","Une erreur s\'est produite lors de la validation du numéro de TVA intracommunautaire."
"The customer would belong to Customer Group %s.","Le client fait partie du groupe client %s."
"There was an error detecting Customer Group.","Il y a eu une détection d\'erreur du groupe clients."
"Validate VAT Number","Valider le numéro de TVA"
"Customer Login","Identifiant client"
"Create New Customer Account","Créer un nouveau compte client"
"Date of Birth","Date de naissance"
"Bad request.","Mauvaise demande."
"This confirmation key is invalid or has expired.","Cette clé de confirmation est invalide ou a expiré."
"There was an error confirming the account","Il y a eu une erreur en confirmant le compte"
"If you are a registered VAT customer, please click <a href=""%1"">here</a> to enter your shipping address for proper VAT calculation.","Si vous êtes un client assujetti à la TVA, veuillez <a href=""%1"">cliquez ici</a> entrer votre adresse de livraison pour un calcul de TVA correcte."
"If you are a registered VAT customer, please click <a href=""%1"">here</a> to enter your billing address for proper VAT calculation.","Si vous êtes un client assujetti à la TVA, veuillez <a href=""%1"">cliquez ici</a> entrer votre adresse de facturation pour un calcul de TVA correcte."
"Thank you for registering with %1.","Merci de votre inscription sur %1."
"Please check your email for confirmation key.","Veuillez vérifier votre e-mail pour la clé de confirmation."
"This email does not require confirmation.","Cet e-mail ne nécessite pas de confirmation."
"Wrong email.","E-mail erroné."
"Your password reset link has expired.","Le lien de réinitialisation de mot de passe a expiré."
"There is already an account with this email address. If you are sure that it is your email address, <a href=""%1"">click here</a> to get your password and access your account.","Il existe déjà un compte pour cette adresse e-mail. Si vous êtes sûr d\'avoir correctement saisi votre e-mail, <a href=""%1"">cliquez ici</a> pour récupérer votre mot de passe et accéder à votre compte."
"Please make sure your passwords match.","Veuillez vérifier que vos mots de passe concordent."
"If you are a registered VAT customer, please <a href=""%1"">click here</a> to enter your shipping address for proper VAT calculation.","Si vous êtes un client assujetti à la TVA, veuillez <a href=""%1""> Cliquez ici </a> et entrer votre adresse de livraison pour un calcul de TVA correcte."
"If you are a registered VAT customer, please <a href=""%1"">click here</a> to enter your billing address for proper VAT calculation.","Si vous êtes un client assujetti à la TVA, veuillez <a href=""%1""> Cliquez ici </a> et entrer votre adresse de facturation pour un calcul de TVA correcte."
"Invalid input","Saisie invalide"
"You saved the account information.","Vous avez enregistré les informations de compte."
"Please enter new password.","Veuillez entrer un nouveau mot de passe."
"Confirm your new password.","Confirmez votre nouveau mot de passe."
"Something went wrong while changing the password.","Une erreur s\'est produite lors du changement de mot de passe."
"Please correct the email address.","Veuillez corriger l\'adresse e-mail."
"Please enter your email.","Saisissez votre e-mail."
"If there is an account associated with %1 you will receive an email with a link to reset your password.","S\'il y a un compte associé à l\'adresse %1, vous recevrez un e-mail avec un lien pour réinitialiser votre mot de passe."
"This account is not confirmed. <a href=""%1"">Click here</a> to resend confirmation email.","Ce compte n\'a pas encore été confirmé. <a href=""%1"">Cliquez ici</a> Pour envoyer un nouvel e-mail de confirmation."
"Invalid login or password.","Identifiant ou mot de passe invalide."
"A login and a password are required.","Un identifiant et un mot de passe sont nécessaires."
"Please enter a new password.","Veuillez entrer un nouveau mot de passe."
"You updated your password.","Mot de passe mis à jour."
"Something went wrong while saving the new password.","Une erreur s\'est produite lors de l\'enregistrement du nouveau mot de passe."
"You deleted the address.","Vous avez supprimé l\'adresse."
"You saved the address.","Vous avez enregistré l\'adresse."
"No customer ID defined.","Aucun ID de client n\'a été défini."
"Please correct the quote items and try again.","Veuillez corriger le commentaire sur le produit et essayez à nouveau."
"You deleted the customer group.","Vous avez supprimé le groupe de clients."
"The customer group no longer exists.","Le groupe de clients n\'existe plus."
"New Group","Nouveau groupe"
"New Customer Groups","Nouveaux groupes de clients"
"Edit Group","Modifier le groupe"
"Edit Customer Groups","Modifier les groupes de client"
"You saved the customer group.","Vous avez enregistré le groupe de clients."
"Please select customer(s).","Sélectionnez au moins un client."
"Customer could not be deleted.","Le client ne peut être supprimé."
"You deleted the customer.","Vous avez supprimé le client."
"Something went wrong while editing the customer.","Une erreur s\'est produite lors de la modification du client."
"Manage Customers","Gérer les clients"
"A total of %1 record(s) were deleted.","Un total de %1 enregistrement(s) ont été supprimés."
"The customer will receive an email with a link to reset password.","Le client recevra un e-mail avec un lien pour réinitialiser votre mot de passe."
"Something went wrong while resetting customer password.","Une erreur s\'est produite lors de la réinitialisation de mot de passe client."
"You saved the customer.","Vous avez enregistré le client."
"Something went wrong while saving the customer.","Une erreur s\'est produite lors de l\'enregistrement du client."
"Online Customers","Clients en ligne"
"Customers Now Online","Clients en ligne actuellement"
"Please define Wish List item ID.","Veuillez définir un ID de produit pour la liste d\'envie."
"Please load Wish List item.","Veuillez charger la liste d\'envie de produit."
"Login successful.","Connexion réussie."
"""%1"" section source is not supported","""%1"" source de la section n\'est pas pris en charge"
"No confirmation needed.","Aucune confirmation nécessaire."
"Account already active","Compte déjà actif"
"Invalid confirmation token","Confirmation de permission Invalide"
"This account is not confirmed.","Ce compte n\'est pas confirmé."
"This customer already exists in this store.","Ce client existe déjà dans ce magasin."
"A customer with the same email already exists in an associated website.","Un client avec le même e-mail existe déjà dans un site Web associé."
"Please enter a password with at least %1 characters.","Veuillez entrer un mot de passe avec au moins %1 caractères."
"Reset password token mismatch.","Réinitialisation de mot de passe inadéque avec la permission."
"Reset password token expired.","Permission de réinitialisation expiré."
"Please correct the transactional account email type.","Veuillez corriger le type compte de messagerie transactionnel."
"Please enter the first name.","Veuillez renseigner le prénom."
"Please enter the last name.","Veuillez renseigner le nom de famille."
"Please enter the street.","Veuillez renseigner la rue."
"Please enter the city.","Veuillez renseigner la ville."
"Please enter the phone number.","Veuillez renseigner le numéro de téléphone."
"Please enter the zip/postal code.","Veuillez renseigner le code postal."
"Please enter the country.","Veuillez renseigner le pays."
"Please enter the state/province.","Veuillez renseigner le département."
"""%1"" is a required value.","""%1"" est une valeur obligatoire."
"Per Website","Par site web"
"Shipping Address","Adresse de livraison"
"Please enter a first name.","Veuillez entrez un prénom."
"Please enter a last name.","Veuillez entrez un nom."
"Please correct this email address: ""%1"".","Veuillez corriger cette adresse e-mail: ""%1""."
"Please enter a date of birth.","Veuillez entrer une date de naissance."
"Please enter a TAX/VAT number.","Veuillez entrer un numéro TVA."
"Please enter a gender.","Quel humain êtes-vous ?"
"Please enter a valid password reset token.","Veuillez entrer une permission de réinitialisation du mot valide."
"The password can not begin or end with a space.","Le mot de passe ne peut pas commencer ou se terminer par un espace."
Admin,Administration
"Attribute object is undefined","L\'objet attribut est indéfini"
"""%1"" invalid type entered.","""%1"" type de saisi est invalide."
"""%1"" contains non-alphabetic or non-numeric characters.","""%1"" contient des caractères non-alphabétiques ou non numériques."
"""%1"" is an empty string.","""%1"" est une chaîne vide."
"""%1"" contains non-numeric characters.","""%1"" contient des caractères non numériques."
"""%1"" contains non-alphabetic characters.","""%1"" contient des caractères non alphabétiques."
"""%1"" is not a valid email address.","%1 n\'est pas une adresse e-mail valide."
"""%1"" is not a valid hostname.","""%1"" n\'est pas un nom d\'hôte valide."
"""%1"" uses too many characters.","""%1"" utilise trop de caractères."
"""%1"" is not a valid URL.","""%1"" n\'est pas une URL valide."
"""%1"" is not a valid date.","""%1"" n\'est pas une date valide."
"""%1"" does not fit the entered date format.","""%1"" ne correspond pas au format de date saisi."
"Please enter a valid date between %1 and %2 at %3.","Veuillez saisir une date valide comprise entre %1 et %2 à %3."
"Please enter a valid date equal to or greater than %1 at %2.","Veuillez saisir une date valide supérieure ou égale à %1 à %2."
"Please enter a valid date less than or equal to %1 at %2.","Veuillez saisir une date valide inférieure ou égale à %1 à %2."
"""%1"" is not a valid file extension.","""%1"" n\'est pas une extension de fichier valide."
"""%1"" is not a valid file.","""%1"" n\'est pas un fichier valide."
"""%1"" exceeds the allowed file size.","""%1"" excède la taille maxi autorisée pour les fichiers."
"""%1"" is not a valid image format.","""%1"" est pas un format d\'image valide."
"""%1"" width exceeds allowed value of %2 px.","La largeur de ""%1"" excède la valeur de %2 px."
"""%1"" height exceeds allowed value of %2 px.","La hauteur de ""%1"" excède la valeur de %2 px."
"""%1"" length must be equal or greater than %2 characters.","La longueur de ""%1"" doit être supérieure ou égale à %2 caractères."
"""%1"" length must be equal or less than %2 characters.","La longueur de ""%1"" doit être égale ou inférieure à %2 caractères."
"Please enter a customer email.","Veuillez entrer l\'adresse e-mail du client."
"A customer website ID must be specified when using the website scope.","Un ID client de site Web doit être spécifié lors de l\'utilisation du site web utilisé."
"Customer Group already exists.","Groupe de clientèle qui existe déjà."
"Cannot delete group.","Ne peut pas supprimer le groupe."
"Error during VAT Number verification.","Erreur lors de la vérification du numéro de TVA."
"PHP SOAP extension is required.","L\'extension SOAP de PHP est requise."
"VAT Number is valid.","Le numéro de TVA est valide."
"Please enter a valid VAT number.","Veuillez entrer un numéro de TVA valide."
"Your VAT ID was successfully validated.","Votre numéro de TVA a bien été validé."
"You will be charged tax.","La TVA vous sera appliquée."
"You will not be charged tax.","La TVA ne vous sera pas appliquée."
"The VAT ID entered (%1) is not a valid VAT ID.","Le numéro de TVA saisi (%1) n\'est pas un numéro de TVA valide."
"Your Tax ID cannot be validated.","Votre numéro de TVA ne peut pas être validé."
"If you believe this is an error, please contact us at %1","Si vous pensez que c\'est une erreur, contactez-nous à %1"
Male,Homme
Female,Femme
"Not Specified","Non précisé"
"Thank you for registering with","Merci de vous enregistrer avec"
"enter your billing address for proper VAT calculation","entrez votre adresse de facturation pour un calcul de la TVA correcte"
"enter your shipping address for proper VAT calculation","entrez votre adresse de livraison pour un calcul de la TVA correcte"
NoSuchEntityException,NoSuchEntityException
InputException,InputException
"Exception message","Message d\'exception"
"Validator Exception","Validateur d\'exception"
"Localized Exception","Localisateur d\'exception"
Label,Libellé
Visitor,Visiteur
"No item specified.","Aucun produit spécifié."
"Are you sure you want to remove this item?","Êtes-vous sûr de vouloir supprimer ce produit ?"
"Personal Information","Informations personnelles"
"Last Logged In:","Connecté la dernière fois dans:"
"Last Logged In (%1):","Connecté la dernière fois dans (%1):"
"Confirmed email:","E-mail confirmé :"
"Account Created:","Compte créé:"
"Account Created on (%1):","Compte créé le (%1) :"
"Account Created in:","Compte créé dans :"
"Customer Group:","Groupe de clients :"
"Default Billing Address","Adresse de facturation par défaut"
"Sales Statistics","Statistiques de ventes"
"Average Sale","Ventes moyennes"
"Manage Addresses","Gérer les adresses"
"Default Shipping Address","Adresse de livraison par défaut"
"Contact Information","Informations de contact"
"Change Password","Modifier le mot de passe"
Newsletters,Newsletters
"You subscribe to ""General Subscription"".","Vous souscrivez à ""L\'Abonnement général""."
"Default Addresses","Adresses par défaut"
"Change Billing Address","Modifier l\'adresse de facturation"
"You have no default billing address in your address book.","Vous n\'avez pas d\'adresse de facturation par défaut dans votre carnet d\'adresses."
"Change Shipping Address",Modifier
"You have no default shipping address in your address book.","Vous n\'avez pas d\'adresse de livraison par défaut dans votre carnet d\'adresses."
"Additional Address Entries","Saisies d\'adresses supplémentaires"
"Delete Address","Effacer l\'adresse"
"You have no other address entries in your address book.","Vous avez pas d\'autres d\'adresses entrées dans votre carnet d\'adresses."
Fax,"Numéro de téléphone"
"Street Address",Adresse
"Street Address %1","Rue - Voie – Bât. %1"
"VAT Number","Numéro Entreprise"
"Please select a region, state or province.","Veuillez sélectionner une région, une état ou une province."
"Use as my default billing address","Utiliser comme adresse de facturation par défaut"
"Use as my default shipping address","Utiliser comme adresse de <strong>livraison</strong> par défaut"
"Save Address","Enregistrer l\'adresse"
"Go back",Retour
"Please enter your email below and we will send you the confirmation link.","Veuillez entrer votre e-mail ci-dessous et nous vous ferons parvenir le lien de confirmation."
"Send confirmation link","Envoyer un lien de confirmation"
"Back to Sign In","Retour sur la page de connexion"
"Current Password","Mot de passe actuel"
"Confirm New Password","Confirmer le nouveau mot de passe"
"Please enter your email address below to receive a password reset link.","Veuillez entrer votre adresse e-mail ci-dessous pour recevoir un lien de réinitialisation de mot."
"Registered Customers","Clients enregistrés"
"If you have an account, sign in with your email address.","Si vous avez un compte, connectez-vous avec votre adresse e-mail."
Login,Connexion
"Forgot Your Password?","Mot de passe oublié ?"
"Subscription option","Option d\'abonnement"
"General Subscription","Je m\'abonne"
"Sign Up for Newsletter","Abonnez-vous à la newsletter"
"Address Information","Informations d\'adresse"
"Sign-in Information","Informations de connexion"
"Confirm Password","Confirmer le mot de passe"
"Create an Account","Créer un compte"
"Set a New Password","Définir un nouveau mot de passe"
"You have signed out and will go to our homepage in 5 seconds.","Vous êtes maintenant déconnecté et nous allons vous rediriger vers notre page d\'accueil dans 5 secondes."
"Creating an account has many benefits: check out faster, keep more than one address, track orders and more.","La création d\'un compte a de nombreux avantages: consultation rapide, conserver plusieurs adresses, suivre les commandes, les envois de colis et bien plus encore."
Gender,Humain
"Tax/VAT number","Numéro de TVA intracommunautaire"
"%name,","%name,"
"Welcome to %store_name.","Bienvenue sur %store_name."
"To sign in to our site, use these credentials during checkout or on the <a href=""%customer_url"">My Account</a> page:","Pour vous connecter sur notre boutique, utilisez les identifiants renseignés lors de votre commande ou en vous rendant sur la page <a href=""%customer_url"">Mon compte</a> :"
Email:,"E-mail :"
Password:,"Mot de passe :"
"Password you set when creating account","Celui que vous avez défini lors de la création de votre compte"
