"Please specify a website.","Veuillez spécifier un site web."
"Please specify an email.","Veuillez spécifier un e-mail."
"We found an invalid value in a website column.","Valeur invalide dans la colonne ""website"""
"Please enter a valid email.","Veuillez saisir une adresse e-mail valide."
"Please make sure attribute ""%s"" is not empty.","Veuillez vérifier que l\'attribut ""%s"" n\'est pas vide."
"Customer address id column is not specified","La colonne ""ID Adresse Client"" n\'est pas spécifiée."
"Please enter a valid region.","Veuillez renseigner une région valide."
"We found another row with this email, website and address ID combination.","Nous avons trouvé un autre enregistrement avec la combinaison de cet e-mail, site web et ID d\'adresse."
"This email is found more than once in the import file.","Cette adrresse e-mail est présente plusieurs fois dans le fichier d\'import."
"Orphan rows that will be skipped due default row errors","Lignes ophelines qui seront ignorées en raison d\'erreurs"
"Invalid value in Store column (store does not exists?)","Valeur invalide dans la colonne ""Magasin"" (le magasin n\'existe peut-être pas ?)"
"Please enter a password with a valid length.","Veuillez renseigner un mot de passe avec une longueur valide."
