"Downloadable Information","Informations téléchargements"
"Add New Link","Ajouter un nouveau lien"
"Upload Files","Télécharger les fichiers"
Unlimited,Illimité
"Something went wrong while getting the requested content.","Une erreur s'est produite lors de la récupération du contenu demandé."
"My Downloadable Products","Mes produits téléchargeables"
"Please sign in to download your product or purchase <a href=""%1"">%2</a>.","Veuillez vous connecter pour télécharger votre produit, ou achetez <a href=""%1"">%2</a>."
"Please sign in to download your product.","Veuillez vous connecter pour télécharger votre produit."
"The link has expired.","Le lien a expiré."
"The link is not available.","Le lien n'est pas disponible."
"Sorry, there was an error getting requested content. Please contact the store owner.","Erreur lors de la récupération du contenu demandé. Veuillez contacter le magasin."
"Please set resource file and link type.","Renseignez le fichier de ressource et le type de lien."
"Invalid download link type.","Le type de lien de téléchargement est invalide."
"Something went wrong while saving the file(s).","Une erreur s'est produite lors de l'enregistrement du/des fichier(s)."
"Provided content must be valid base64 encoded data.","Le contenu fourni doit être une donnée valide encodée en base64."
"Provided file name contains forbidden characters.","Le nom de fichier fourni contient des caractères interdits."
"Link price must have numeric positive value.","Le prix du lien doit avoir une valeur numérique positive."
"Number of downloads must be a positive integer.","Le nombre de téléchargements doit être un entier positif."
"Sort order must be a positive integer.","L'ordre de tri doit être un entier positif."
"Link URL must have valid format.","L'URL du lien doit avoir un format valide."
"Provided file content must be valid base64 encoded data.","Le fichier fourni doit être une donnée valide encodée en base64."
"Sample URL must have valid format.","L'URL de l'échantillon doit avoir un format valide."
"Order id cannot be null","L'id de commande ne peut pas être null"
"Order item id cannot be null","L'id d'article de commande ne peut pas être null"
"Provided link information is invalid.","Les informations fournis pour le lien sont invalides."
"Invalid link type.","Type de lien invalide."
"Link title cannot be empty.","Le titre du lien ne peut pas être vide."
"There is no downloadable link with provided ID.","Aucun lien de téléchargement trouvé avec l'ID fourni."
"Provided downloadable link is not related to given product.","Le lien de téléchargement fourni n'est pas relié à ce produit."
"Please specify product link(s).","Spécifiez le ou les liens des produits."
"Provided sample information is invalid.","Les informations fournis pour l'échantillon sont invalides."
"Invalid sample type.","Type d'échantillon invalide."
"Sample title cannot be empty.","Le titre de l'échantillon ne peut pas être vide."
"There is no downloadable sample with provided ID.","Aucun échantillon téléchargeable avec l'ID fourni."
"Provided downloadable sample is not related to given product.","L'échantillon fourni n'est pas relié à ce produit."
attachment,"pièce jointe"
inline,"en ligne"
Pending,"En attente"
sample,échantillon
"Is this downloadable Product?","Est-ce un produit téléchargeable ?"
Links,Liens
"Add links to your product files here.","Ajouter des liens aux fichiers de votre produit ici."
"Links can be purchased separately","Les liens peuvent être achetés séparément"
"Attach File or Enter Link","Attacher un fichier ou entrer un lien"
Sample,Exemple
Shareable,Partageable
"Max. Downloads","Téléchargements max."
File,Fichier
URL,URL
Samples,Exemples
"Add product preview files here.","Ajouter un aperçu du produit ici."
U,U
"Select all","Sélectionner tout"
"Unselect all","Désélectionner tout"
"Go to <a href=""%1"">My Downloadable Products</a>","Aller à <a href=""%1"">Mes produits téléchargeables</a>"
"Downloadable Products","Produits téléchargeables"
Date,Date
"Remaining Downloads","Téléchargements restants"
"View Order",Visualiser
"Start Download","Démarrage du téléchargement"
"You have not purchased any downloadable products yet.","Vous n'avez pas encore commandé de produits téléchargeables."
download,télécharger
"Downloadable Product Options","Options du produit téléchargeable"
"Order Item Status to Enable Downloads","Statut du produit commandé pour activer le téléchargement"
"Default Maximum Number of Downloads","Nombre maximum de téléchargements par défaut"
"Default Sample Title","Titre de l'exemple par défaut"
"Default Link Title","Titre de lien par défaut"
"Open Links in New Window","Ouvrir les liens dans une nouvelle fenêtre"
"Use Content-Disposition","Utiliser la disposition de contenu"
"Disable Guest Checkout if Cart Contains Downloadable Items","Désactiver le passage de commande en tant qu'invité si le panier contient des produits téléchargeables"
"Guest checkout will only work with shareable.","Le passage de commande en tant qu'invité ne fonctionnera qu'avec les partageables."
