"Attribute Properties","Propriétés de l'attribut"
"Default label","Libellé par défaut"
"Catalog Input Type for Store Owner","Type d'entrée catalogue pour le propriétaire du magasin"
"Values Required","Valeurs requises"
"Decimal Number","Nombre décimal"
"Integer Number","Nombre entier"
Letters,Lettres
"Letters (a-z, A-Z) or Numbers (0-9)","Lettres (a-z, A-Z) ou chiffres (0-9)"
"Text Field","Champ texte"
"Text Area","Zone de texte"
Yes/No,Oui/Non
"Input type ""%value%"" not found in the input types list.","Le type d'entrée ""%value%"" n'a pas été trouvé dans la liste des types d'entrée."
"Entity object is undefined","L'objet entité n'est pas défini"
"""%1"" is not a valid image format","""%1"" n'est pas un format d'image valide"
"""%1"" cannot contain more than %2 lines.","""%1"" ne peut pas contenir plus de %2 lignes."
"Attribute group does not belong to provided attribute set","Groupe d'attribut ne fait pas partie de l'ensemblre d'attributs fournis"
"Cannot save attributeGroup","Impossible d'enregistrer le groupe d'attributs"
"Cannot delete attributeGroup with id %1","Pas peut supprimer le groupe d'attributs avec id %1"
"AttributeSet with id ""%1"" does not exist.","Le groupe d'attribut avec id ""% 1"" n »exister."
"Wrong attribute set id provided","Mauvais ID fournis pour l'ensemble d'attributs"
"Attribute group does not belong to attribute set","Groupe d'attributs ne fait pas partie de l'ensemble d'attributs"
"Attribute set not found: %1","Attribut défini introuvable: %1"
"Attribute ""%1"" not found in attribute set %2.","Attribut ""%1"" ne se trouve pas dans l'attribut défini %2."
"System attribute can not be deleted","Un attribut Système ne peut pas être supprimé"
"Cannot save attribute","Vous ne pouvez pas enregistrer l'attribut"
"Attribute with attributeCode ""%1"" does not exist.","Attribut avec attributeCode ""%1"" n'existe pas."
"Cannot delete attribute.","Vous ne pouvez pas supprimer l'attribut."
"Attribute with id ""%1"" does not exist.","Attribut avec id ""% 1"" n'existe pas."
"There was an error saving attribute set.","Il y a eu une erreur lors de la sauvegarde sur l'ensemble d'attributs."
"Default attribute set can not be deleted","Ensemble d'attributs par défaut ne peut être supprimé"
"There was an error deleting attribute set.","Il y a eu une erreur lors de la suppression sur l'ensemble d'attributs."
"Invalid entity_type specified: %1","entity_type fourni invalide : %1"
"Entity is not initialized","L'entité n'est pas initialisée."
"Unknown parameter","Paramètre inconnu."
"An attribute code must not be more than %1 characters.","Un code d'attribut ne doit pas contenir plus de %1 caractères."
"Invalid default decimal value","Valeur décimale par défaut invalide"
"Invalid default date","Date par défaut invalide"
"Invalid entity supplied","Entité fournie invalide"
"Invalid backend model specified: %1","Backend modèle specifié Invalide : %1"
"Source model ""%1"" not found for attribute ""%2""","Le modèle source ""%1"" n'a pas été trouvé pour l'attribut ""%2"""
"The value of attribute ""%1"" must be unique","La valeur de l'attribut ""%1"" doit être unique."
"Invalid date","Date invalide"
"Empty attribute code","Code d'attribut vide"
"Cannot save attribute %1","Vous ne pouvez pas enregistrer l'attribut %1"
"Attribute %1 does not contain option with Id %2","L'attribut %1 ne contient pas l'option avec l'ID %2"
"Cannot load options for attribute %1","Vous ne pouvez pas charger les options pour l'attribut %1"
"Attribute set name is empty.","Nom du groupe d'attribut est vide."
"An attribute set named ""%1"" already exists.","Un groupe d'attribut nommé ""% 1"" existe déjà."
"No options found.","Aucune option trouvé."
"Invalid entity supplied: %1","L'entité fournie est invalide : %1."
"Attempt to add an invalid object","Tentative d'ajout d'un objet invalide"
"Invalid attribute identifier for filter (%1)","Identificateur d'attribut invalide pour le filtre (%1)"
"Invalid attribute requested: %1","Attribut demandé invalide : %1"
"Joint field or attribute expression with this alias is already declared","Il existe déjà un champ de jointure ou une expression d'attribut portant cet alias."
"Invalid alias, already exists in joint attributes","Alias invalide, déjà utilisé dans les attributs de jointure"
"Invalid foreign key","Clé étrangère invalide."
"Invalid entity type","Type d'entité invalide."
"Invalid attribute type","Type d'attribut invalide"
"A joined field with this alias is already declared.","Un champ joint avec cet alias est déjà déclarée."
"Invalid joint fields","Champs de jointure invalides."
"A joint field with this alias (%1) is already declared.","Un champ de jointure a déjà été déclaré avec cet alias (%1)."
"Data integrity: No header row found for attribute","Intégrité des données : aucune ligne d'en-tête trouvée pour l'attribut."
"Invalid attribute name: %1","Nom d'attribut invalide : %1"
"Invalid character encountered in increment ID: %1","Caractère invalide trouvé dans l'ID d'incrément : %1"
"The current module pathname is undefined.","Le chemin courant du module est indéfinie."
"The current module EAV entity is undefined.","L'entité courant du module de EAV est indéfinie."
"The form code is not defined.","Le code de formulaire n'est pas défini."
"The entity instance is not defined.","L'instance d'entité n'est pas défini."
"Invalid form type.","Type de formulaire invalide."
"Invalid EAV attribute","Attribut EAV invalide"
"Attribute with the same code","Attribut avec le même code"
"The storefront label is not defined.","Le libellé du magasin est pas défini."
"Default option value is not defined","La valeur par défaut de l'option n'est pas définie."
"Form Element with the same attribute","Il existe déjà un élément de formulaire avec le même attribut"
"Form Fieldset with the same code","Il existe déjà un groupe de champs de formulaire avec le même code"
"Form Type with the same code","Il existe déjà un type de formulaire avec le même code"
"The value of attribute ""%1"" is invalid.","La valeur de l'attribut ""%1"" est invalide."
"Wrong entity ID","Mauvais identifiant d'entité."
"Wrong attribute set ID","Mauvais identifiant de l'ensemble d'attributs."
"Wrong attribute group ID","Mauvais identifiant de groupe d'attributs."
"AttributeSet does not exist.","AttributeSet n'existe pas."
hello,bonjour
"Some internal exception message.","Certains message d'exception interne."
"The value of attribute not valid","La valeur de l'attribut n'est pas valable"
"EAV types and attributes","Types EAV et attributs"
"Entity types declaration cache.","Cache de déclaration des types d'entité."
