"Gift Messages is not applicable for empty cart","Les messages cadeau ne sont pas utilisables lorsque le panier est vide"
"Gift Messages is not applicable for virtual products","Les messages cadeaux ne sont pas utilisables pour les produits virtuels"
"Gift Message is not available","Messages cadeau indisponibles"
"Could not add gift message to shopping cart","Impossible d\'ajouter un message cadeau au panier"
"There is no item with provided id in the cart","Il n\'y a pas d\'article avec l\'identifiant fourni dans le panier"
"There is no product with provided  itemId: %1 in the cart","Il n\'y a pas de produit avec l\'identifiant fourni ""%1"" dans le panier"
"There is no item with provided id in the order","Il n\'y a pas d\'article avec l\'identifiant fourni dans la commande"
"Could not add gift message to order: ""%1""","Impossible d\'ajouter un message cadeau à la commande : ""%1"""
"There is no order with provided id","Il n\'y a pas de commande avec l\'identifiant fourni"
"Gift Messages is not applicable for empty order","Les messages cadeau ne sont pas utilisables pour une commande vide"
"Unknown entity type","Type d\'entité inconnu"
OK,OK
"Gift Options","Options cadeau"
"Do you have any gift items in your order?","Y a-t-il des articles cadeaux dans votre commande ?"
"Add gift options","Ajouter des options cadeau"
"Gift Options for the Entire Order","Options cadeau pour toute la commande"
"Gift Options for Individual Items","Options cadeau pour les articles individuels"
"<span>Item %1</span> of %2","<span>Article %1</span> sur %2"
"Add Gift Options for the Entire Order","Ajouter des options cadeau pour toute la commande"
"Add gift options for Individual Items","Ajouter des options cadeau pour les articles individuels"
"Allow Gift Messages on Order Level","Autoriser les messages cadeau au niveau de la commande"
"Allow Gift Messages for Order Items","Autoriser les messages cadeau pour chaque article"
