Integrations,Intégrations
"Add New Integration","Ajouter une nouvelle intégration"
API,API
"Save & Activate","Enregistrer & Activer"
"New Integration","Nouvelle intégration"
"Edit Integration '%1'","Modifi l\'ntegration \'%1\'"
"Integration Info","Infos intégration"
"Callback URL","URL de rappel"
"Enter URL where Oauth credentials can be sent when using Oauth for token exchange. We strongly recommend using https://.","Entrez l\'URL où les informations d\'identification Oauth pouvant être envoyés lors de l\'utilisation Oauth pour l\'échange d\'authentification. Nous vous recommandons fortement d\'utiliser https://."
"Identity link URL","Identité lien URL"
"URL to redirect user to link their 3rd party account with this Magento integration credentials.","URL pour rediriger l\'utilisateur afin de lier leur compte Magento 3ème partie avec les informations d\'identification d\'intégration."
"Integration Details","Détails intégration"
"Integration Tokens for Extensions","Authentification d\'intégration pour les extensions"
"Consumer Key","API Clé"
"Consumer Secret","API Secret "
"Access Token","Authentification d\'accès (Oauth)"
"Access Token Secret","Authentification d\'accès secret (Oauth)"
"Uninstall the extension to remove this integration","Désinstaller l\'extension pour supprimer cette intégration"
Activate,Activez
Reauthorize,Réautoriser
"Uninstall the extension to remove integration '%1'.","Désinstaller l\'extension pour supprimer l\'intégration \'%1\'."
"This integration no longer exists.","Cette intégration n\'existe plus."
"The integration '%1' has been deleted.","L\'intégration \'%1\' a été supprimé."
"Integration ID is not specified or is invalid.","ID d\'intégration n\'est pas spécifié ou est invalide."
"Internal error. Check exception log for details.","Erreur interne. Vérifiez le journal d\'exception pour plus de détails."
"View ""%1"" Integration","Voir ""%1"" Intégration"
"Edit ""%1"" Integration","Modifier ""%1"" Intégration"
"Warning! Integrations not using HTTPS are insecure and potentially expose private or personally identifiable information","Attention! L\'intégrations n\'utilise pas HTTPS et expose potentiellement des informations privées ou des personnelles identifiables"
"The integration was not saved.","L\'intégration n\'a pas été enregistré."
"The integration '%1' has been re-authorized.","L\'intégration \'%1\' a été réautorisé."
"The integration '%1' has been activated.","L\'intégration \'%1\' a été activée."
"Integration '%1' has been sent for re-authorization.","Intégration \'%1\' a été envoyé pour la réautorisation."
"Integration '%1' has been sent for activation.","Intégration \'%1\' a été envoyé pour l\'activation."
"This user has no tokens.","Cet utilisateur n\'a pas d\'authenfication."
"The tokens could not be revoked.","Les authentifications ne peuvent être révoqués."
"Sorry, something went wrong granting permissions. You can find out more in the exceptions log.","Désolé, une erreur s\'est produite sur l\'attributions des permissions. Vous pouvez en savoir plus dans le journal des exceptions."
"Something went wrong while deleting roles and permissions. You can find out more in the exceptions log.","Une erreur s\'est produite lors de la suppression des rôles et permissions. Vous pouvez en savoir plus dans le journal d\'exceptions."
"This customer has no tokens.","Ce client n\'a pas d\'authenfication."
"Invalid Callback URL","URL de rappel invalide"
"Invalid Rejected Callback URL","URL de rappel rejeté invalide"
"Incorrect timestamp value in the oauth_timestamp parameter","Valeur d\'horodatage incorrect dans le paramètre oauth_timestamp"
"The nonce is already being used by the consumer with ID %1","Le nom occasionnel est déjà utilisé par l\'utilisateur avec l\'ID %1"
"An error occurred validating the nonce","Une erreur est survenue lors de la validation du nom occasionnel"
"Cannot convert to access token due to token is not request type","Vous ne pouvez pas convertir l\'authentification en raison du type d\'autorisation qui n\'a pas demandé le type"
"Consumer key has expired","Clé API a expiré"
"Cannot create request token because consumer token is not a verifier token","Vous ne pouvez pas créer de demande d\'authnefication parce que l\'API n\'a pas été vérifié"
"Request token is not associated with the specified consumer","La demande d\'authentification n\'est pas associée à l\'API spécifiée"
"Token is already being used","L\'authentification est déjà utilisée"
"Cannot get access token because consumer token is not a request token","Impossible d\'obtenir l\'authentification d\'accès parce l\'API n\'a pas une demande de authentifiable"
"Token is not associated with the specified consumer","L\'authentification n\'est pas associée à l\'API spécifiée"
"Token is not an access token","L\'authentification n\'est une authentification d\'accès"
"Access token has been revoked","L\'authentification d\'accès a été révoqué"
"Consumer key is not the correct length","La clé API n\'est pas de la bonne longueur"
"A consumer having the specified key does not exist","API ayant une clé spécifique qui n\'existe pas"
"Verifier is invalid","Verifier est invalide"
"Verifier is not the correct length","Verifier est pas la bonne longueur"
