"To see product price, add this item to your cart. You can always remove it later.","Pour voir le prix du produit, ajoutez cet article à votre panier. Vous pourrez toujours l\'enlever plus tard."
"On Gesture","Au geste"
"In Cart","Dans le panier"
"Before Order Confirmation","Avant la confirmation de commande"
"Order total will be displayed before you submit the order","LE TOTAL DE LA COMMANDE S\'AFFICHERA AVANT LA CONFIRMATION DE COMMANDE"
"You will see the order total before you submit the order.","Vous verrez le total de la commande avant de valider la commande."
"Actual Price","Prix ​​actuel"
"Minimum Advertised Price","Prix ​​minimum affiché"
"Enable MAP","Activer le prix minimum affiché"
"Display Actual Price","Afficher les vrais prix"
"Default Popup Text Message","Texte du message de popup par défaut"
