"Ship to Multiple Addresses","Livrer à plusieurs adresses"
"Billing Information - %1","Informations de facturation - %1"
"Review Order - %1","Vérifier la commande - %1"
"Total for this address","Total pour cette adresse"
"Shipping Methods","Modes de livraison"
"Edit Billing Address","Modifier l'adresse de facturation"
"Edit Shipping Address","Modifier l'adresse de livraison"
"Create Billing Address","Créer une adresse de facturation"
"Create Shipping Address","Créer une adresse de livraison"
"Data saving problem","Problème lors de la sauvegarde des données"
"We cannot open the overview page.","Impossible d'ouvrir la vue générale."
"Please agree to all Terms and Conditions before placing the order.","Veuillez accepter les conditions générales de ventes avant de valider la commande."
"Order place error","Erreur lors de la validation de la commande"
"Maximum qty allowed for Shipping to multiple addresses is %1","La quantité maxi autorisée pour la livraison à plusieurs adresses est %1"
"Please check shipping address information.","Vérifiez les informations de l'adresse de livraison."
"Please check billing address information.","Vérifiez les informations de l'adresse de facturation."
"Please select shipping methods for all addresses.","Veuillez sélectionner une méthode de livraison pour toutes les adresses."
"A payment method is not defined.","La méthode de paiement n'est pas définie."
"The requested payment method is not available for multishipping.","La méthode de paiement demandée n'est pas disponible pour la livraison à plusieurs adresses."
"Item not found or already ordered","Produit non trouvé ou déjà commandé"
"Please specify a payment method.","Veuillez sélectionner une méthode de paiement."
"Please check shipping addresses information.","Vérifiez les informations des adresses de livraison."
"Please specify shipping methods for all addresses.","Spécifiez le mode de livraison pour chaque adresse."
"Select Addresses","Choix des adresses"
"Shipping Information","Informations de livraison"
"Billing Information","Informations de facturation"
"Place Order","Passez la commande"
"Order Success",Confirmation
"Default Billing","Facturation par défaut"
"Default Shipping","Livraison par défaut"
"Select Address","Sélectionner une adresse"
"Back to Billing Information","Retour aux informations de facturation"
"Please select a shipping address for applicable items.","Veuillez sélectionner une adresse de livraison pour les articles."
"Send To","Envoyer à"
"A shipping selection is not applicable.","Une méthode de livraison n'est pas utilisable."
"Remove Item","Supprimer l'article"
"Go to Shipping Information","Allez aux informations de livraison"
"Update Qty &amp; Addresses","Mettre à jour les quantités et adresses"
"Enter a New Address","Saisir une nouvelle adresse"
"Back to Shopping Cart","Retour au panier"
"Payment Method","Mode de paiement"
"Go to Review Your Order","Retour au récapitulatif de votre commande"
"Back to Shipping Information","Retour aux informations de livraison"
"Other items in your order","Autres articles dans votre commande"
"Edit Items","Modifier les articles"
"Shipping is not applicable.","Livraison non utilisable."
"Check Out with Multiple Addresses","Passer commande vers plusieurs adresses de livraison"
"Address %1 <span>of %2</span>","Adresse %1 <span>sur %2</span>"
"Shipping To","Livraison à"
"Shipping Method","Mode de livraison"
"Order Review","Vérification de commande"
"Grand Total:","Montant global :"
"Submitting order information...","Les informations de commande sont en cours d'envoi..."
"Sorry, no quotes are available for this order right now.","Désolé, aucune estimation n'est actuellement disponible pour cette commande."
"Continue to Billing Information","Poursuivre vers les informations de facturation"
"Back to Select Addresses","Retour à la sélection d'adresses"
"Thank you for your purchase!","Merci de votre achat !"
"Your order numbers are: ","Vos numéros de commande sont : "
"Your order number is: ","Votre numéro de commande est : "
"Allow Shipping to Multiple Addresses","Autoriser la livraison à plusieurs adresses"
"Maximum Qty Allowed for Shipping to Multiple Addresses","Qté maxi autorisée pour la livraison à plusieurs adresses"
"Review Order","Vérifier la commande"
"Select Shipping Method","Sélectionner le mode de livraison"
