"Delete Selected Problems","Supprimer les problèmes sélectionnés"
"Unsubscribe Selected","Désinscription sélectionnée"
"Save Newsletter","Enregistrer la newsletter"
"Save and Resume","Enregistrer et continuer"
"View Newsletter","Voir la newsletter"
"Edit Newsletter","Modifier la newsletter"
"Queue Information","Informations de file"
"Queue Date Start","Date de démarrage de la file"
"Subscribers From","Abonnés de"
"Sender Name","Nom de l'expéditeur"
"Sender Email","E-mail de l'expéditeur"
"Newsletter Styles","Styles de newsletter"
Start,Commencer
Pause,Pause
"Do you really want to cancel the queue?","Voulez-vous vraiment supprimer la file ?"
Resume,Reprendre
"Newsletter Templates","Gabarits newsletter"
"Return HTML Version","Revenir à la version HTML"
"Save As","Enregistrer sous"
"Edit Newsletter Template","Modifier le gabarit de newsletter"
"New Newsletter Template","Nouveau gabarit de newsletter"
"No Templates Found","Aucun gabarit trouvé"
Added,Ajouté
Updated,"Mis à jour"
Sender,Expéditeur
"Template Type","Type de gabarit"
"Queue Newsletter","File d'attente newsletter"
"We unsubscribed the people you identified.","Désinscription des personnes sélectionnés."
"The problems you identified have been deleted.","Les problèmes que vous avez identifiés ont été supprimés."
"Newsletter Problems Report","Rapport des problèmes de newsletter"
"Newsletter Problem Reports","Rapports des problèmes de newsletter"
"Newsletter Queue","File d'attente newsletter"
"Edit Queue","Modifier file"
"Please correct the newsletter template and try again.","Veuillez corriger le gabarit de la newsletter et essayez à nouveau."
"You saved the newsletter queue.","File d'attente de la newsletter enregistrée."
"Newsletter Subscribers","Abonnés à la newsletter"
Subscribers,Abonnés
"Please select one or more subscribers.","Veuillez sélectionner un ou plusieurs abonnés."
"Total of %1 record(s) were deleted.","%1 enregistrement(s) ont été effacés."
"The newsletter template has been deleted.","Le gabarit de newsletter a été supprimé."
"Create Newsletter Template","Créer un nouveau gabarit de newsletter"
"The newsletter template has been saved.","Le gabarit de newsletter a été enregistré."
"Something went wrong while saving this template.","Une erreur s'est produite lors de l'enregistrement de ce gabarit."
"Newsletter Subscription","Abonnement à la newsletter"
"Something went wrong while saving your subscription.","Une erreur s'est produite lors de l'enregistrement de cette abonnement."
"We saved the subscription.","Abonnement enregistré."
"We removed the subscription.","Abonnement annulé."
"Your subscription has been confirmed.","Votre inscription a été confirmée."
"This is an invalid subscription confirmation code.","Le code de confirmation de l'abonnement est invalide."
"This is an invalid subscription ID.","L'identifiant de l'abonnement est invalide."
"This email address is already assigned to another user.","Cet e-mail est déjà assigné à un utilisateur."
"Sorry, but the administrator denied subscription for guests. Please <a href=""%1"">register</a>.","Désolé, les abonnements pour les invités sont désactivés. Veuillez <a href=""%1"">vous enregistrer</a>."
"Please enter a valid email address.","Saisissez un e-mail valide."
"The confirmation request has been sent.","La demande de confirmation a été envoyée."
"Thank you for your subscription.","Merci de votre inscription."
"There was a problem with the subscription: %1","Il y a eu un problème lors de l'inscription : %1"
"Something went wrong with the subscription.","Une erreur s'est produite lors de l'abonnement."
"You unsubscribed.","Vous êtes désinscrit."
"Something went wrong while unsubscribing you.","Une erreur s'est produite lors de la désinscription."
Cancelled,Annulé
"There are no subscribers selected.","Aucun abonné sélectionné."
"You selected an invalid queue.","File d'attente sélectionné invalide."
"We cannot mark as received subscriber.","Impossible de marqué comme abonné reçu."
"Duplicate template code","Code de gabarit dupliqué"
"Follow this link to unsubscribe <!-- This tag is for unsubscribe link  --><a href=""{{var subscriber.getUnsubscriptionLink()}}"">{{var subscriber.getUnsubscriptionLink()}}</a>","Cliquez sur ce lien pour vous désinscrire <!-- Sert au lien de désinscription --><a href=""{{var subscriber.getUnsubscriptionLink()}}"">{{var subscriber.getUnsubscriptionLink()}}</a>"
"Choose Store View:","Choisir la vue magasin :"
"Newsletter Message Preview","Prévisualisation du message de la newsletter"
"Add to Queue","Ajouter à la file"
"Are you sure that you want to strip all tags?","Êtes-vous sûr de vouloir supprimer tous les tags ?"
"Please enter a new template name.","Veuillez renseigner un nom de gabarit."
" Copy"," Copie"
"Sign Up for Our Newsletter:","Inscription à notre newsletter :"
"Enter your email address","Saisissez votre e-mail"
Subscribe,Inscription
"Thank you for subscribing to our newsletter.","Merci de votre abonnement à notre newsletter."
"To begin receiving the newsletter, you must first confirm your subscription by clicking on the following link:","Avant de recevoir notre newsletter, vous devez confirmer votre abonnement en cliquant sur le lien suivant :"
"You have been successfully subscribed to our newsletter.","Nous vous confirmons votre abonnement à notre newsletter."
"You have been unsubscribed from the newsletter.","Vous êtes maintenant désabonné de notre newsletter."
"Subscription Options","Options d'inscription"
"Allow Guest Subscription","Autoriser l'inscription des invités"
"Need to Confirm","Confirmation nécessaire"
"Confirmation Email Sender","Expéditeur du mail de confirmation"
"Confirmation Email Template","Gabarit du mail de confirmation"
"Success Email Sender","Expéditeur du mail de succès"
"Success Email Template","Gabarit du mail de succès"
"Unsubscription Email Sender","Expéditeur du mail de désinscription"
"Unsubscription Email Template","Gabarit du mail de désinscription"
"We found no problems.","Aucun problème détécté."
Subscriber,Abonné
"Queue Start Date","Date de départ de la file"
"Queue Subject","Sujet de la file"
"Error Code","Code d'erreur"
"Error Text","Texte d'erreur"
"Queue Start","Début de la file"
"Queue End","Fin de la file"
Processed,Terminé
Recipients,Destinataires
Unsubscribe,Désabonner
"Customer First Name","Prénom du client"
"Customer Last Name","Nom de famille du client"
"Not Activated","Non activé"
Subscribed,Inscrit
Unsubscribed,Désinscrit
Unconfirmed,"Non confirmé"
"Newsletter Subscriptions","Abonnements à la newsletter"
