"Shipping Price","Tarif de livraison"
"Export CSV","Exporter en CSV"
"Store Pickup","Retrait en magasin"
"Weight vs. Destination","Poids par destination"
"Price vs. Destination","Prix par destination"
"# of Items vs. Destination","Nombre d\'articles par destination"
"Weight (and above)","Poids (et au-delà)"
"Order Subtotal (and above)","Sous-total de la commande (et au-delà)"
"# of Items (and above)","Nombre d\'articles (et au-delà)"
"Please correct Table Rate code type: %1.","Veuillez corriger la tarification pour le type %1."
"Please correct Table Rate code for type %1: %2.","Veuillez corriger la tarification du type %1 : %2."
"Per Order","Par commande"
"Per Item","Par article"
"Please correct Table Rates File Format.","Veuillez corriger le format de fichier de la tarification."
"Something went wrong while importing table rates.","Une erreur s\'est produite lors de l\'importation de la tarification."
"Please correct Table Rates format in the Row #%1.","Veuillez corriger le format de la tarification à la ligne #%1."
"Please correct Country ""%1"" in the Row #%2.","Veuillez corriger le pays ""%1"" à la ligne #%2."
"Please correct Region/State ""%1"" in the Row #%2.","Veuillez corriger la région/état ""%1"" à la ligne #%2."
"Please correct %1 ""%2"" in the Row #%3.","Veuillez corriger %1 ""%2"" à la ligne #%3."
"Please correct Shipping Price ""%1"" in the Row #%2.","Veuillez corriger le prix de la livraison ""%1"" de la ligne #%2."
"Duplicate Row #%1 (Country ""%2"", Region/State ""%3"", Zip ""%4"" and Value ""%5"")","Ligne #%1 dupliquée (Pays ""%2"", Région/Etat ""%3"", Code postal ""%4"" et valeur ""%5"")"
"Free Shipping","Livraison gratuite"
"For matching items only","Pour les objets concordants seulement"
"For shipment with matching items","Pour les expéditions avec articles concordants"
"Flat Rate","Tarif unique"
"Method Name","Nom de méthode"
"Table Rates",Tarification
"Include Virtual Products in Price Calculation","Inclure les produits virtuels dans le calcul de prix"
"Minimum Order Amount","Montant de commande minimum"
