"Billing Agreements","Ententes de facturation"
"Reference ID","Réference ID"
"Billing Agreement #%1","Entente de facturation n°%1"
"Related Orders","Les commandes connexes"
"Billing Agreement View","Vue de l'entente de facturation"
"View Transaction Details","Voir les détails des transactions"
"Reference Information","Information sur la référence"
"Transaction Information","Information sur les transactions"
"PayPal Fee Information","Renseignements sur les frais PayPal"
"PayPal Settlement Reports","Rapports de règlements PayPal"
"We are connecting to the PayPal SFTP server to retrieve new reports. Are you sure you want to continue?","Nous nous connectons au serveur SFTP PayPal pour récupérer les nouveaux rapports. Êtes-vous sûr de vouloir continuer ?"
"Fetch Updates","Mises à jour chercher"
button_label,button_label
sandbox_button_label,sandbox_button_label
Help,Aide
"View Demo","Voir la Demo"
"See terms","Voir les modalités"
"You will be redirected to the PayPal website.","Vous allez être redirigé vers le site PayPal."
"You will be redirected to the PayPal website when you place an order.","Vous serez redirigé vers le site de PayPal à l'issue de votre commande."
"Would you like to sign a billing agreement to streamline further purchases with PayPal?","Souhaitez-vous signer une entente de facturation afin de rationaliser vos futurs achats avec PayPal ?"
"Invalid block type","Type de bloc invalide"
"Please specify the correct billing agreement ID and try again.","Veuillez spécifier l'ID correcte d'entente de facturation et essayez à nouveau."
"You canceled the billing agreement.","Vous avez annulé l'entente de facturation."
"You deleted the billing agreement.","Vous avez supprimé l'entente de facturation."
Reports,Rapports
"View Transaction","Voir la transaction"
"We found nothing to fetch because of an empty configuration.","Après recherche nous n'avons rien trouvé en raison d'une configuration vide."
"We fetched %1 report rows from ""%2@%3.""","Nous allés chercher %1 lignes du rapport de ""%2@%3."""
"The billing agreement ""%1"" has been canceled.","L'entente de facturation ""%1"" a été annulée."
"The billing agreement ""%1"" has been created.","L'entente de facturation ""%1"" a été créée."
"Billing Agreement # %1","Entente de facturation n°%1"
"PayPal Express Checkout Token does not exist.","L'authentification PayPal Express n'existe pas."
"A wrong PayPal Express Checkout Token is specified.","Une mauvaise authentification PayPal Express Checkout est spécifié."
"Express Checkout and Order have been canceled.","Le paiement Express Chackout et la commande ont été annulés."
"Express Checkout has been canceled.","Le paiement Express Checkout a été annulé."
"Unable to cancel Express Checkout","Impossible d'annuler Express Checkout"
"To check out, please sign in with your email address.","Pour vérifier, veuillez connectez-vous avec votre adresse e-mail."
"Your payment has been declined. Please try again.","Votre paiement a été refusé. Veuillez essayer à nouveau."
"Requested payment method does not match with order.","La méthode de paiement demandée ne correspond pas à celle de la commande."
"Something went wrong while processing your order.","Une erreur s'est produite lors du traitement de votre commande."
"PayPal gateway has rejected request. %1","Passerelle PayPal ayant rejeté la demande. %1"
"The PayPal gateway rejected the request. %1","La passerelle PayPal a rejeté la demande. %1"
"The payment method code is not set.","Le code de la méthode de paiement n'est pas défini."
"The reference ID is not set.","L'ID de référence n'est pas défini."
"Unable to save Billing Agreement:","Impossible d'enregistrer le contrat de facturation :"
"The customer ID is not set.","L'ID du client n'est pas défini."
"The Billing Agreement status is not set.","Le statut de l'entente de facturation n'est pas défini."
"The PayPal certificate does not exist.","Le certification PayPal n'existe pas."
"We prefer PayPal (150 X 60)","Nous préférons PayPal (150 X 60)"
"We prefer PayPal (150 X 40)","Nous préférons PayPal (150 X 40)"
