"You saved the alert subscription.","Inscription à l\'alerte enregistrée."
"There are not enough parameters.","Il manque des paramètres."
"Alert subscription has been saved.","L\'inscription à l\'alerte a été enregistrée."
"You deleted the alert subscription.","L\'inscription à l\'alerte a été supprimée."
"You will no longer receive price alerts for this product.","Vous ne recevrez plus d\'alertes de changement de prix pour ce produit."
"Unable to update the alert subscription.","Impossible de mettre à jour l\'inscription à l\'alerte."
"You will no longer receive stock alerts for this product.","Vous ne recevrez plus d\'alertes de disponibilité pour ce produit."
"The product was not found.","Le produit n\'a pas été trouvé."
"You will no longer receive stock alerts.","Vous ne recevrez plus d\'alertes de disponibilité."
"Invalid block type: %1","Type de bloc invalide : %1"
"Price change alert! We wanted you to know that prices have changed for these products:","Changement de prix ! Nous vous informons du changement de prix pour nos produits :"
Price:,"Prix :"
"Click here to stop alerts for this product.","Cliquez ici pour vous désinscrire des alertes pour ces produits."
"Unsubscribe from all price alerts","Se désabonner de toutes les alertes de prix"
"In stock alert! We wanted you to know that these products are now available:","Produits en stock ! Nous vous informons que les produits suivants sont à nouveau en stock :"
"Unsubscribe from all stock alerts","Se désabonner de toutes les alertes de disponibilité"
"Product alerts cron warnings","Avertissements pour le CRON (tâche planifiée) des alertes produits"
"Allow Alert When Product Price Changes","Autoriser l\'alerte de changement de prix."
"Allow Alert When Product Comes Back in Stock","Autoriser l\'alerte de disponibilité de produit."
"Price Alert Email Template","Gabarit du mail d\'alerte de changement de prix"
"Stock Alert Email Template","Gabarit du mail d\'alerte de disponibilité"
"Alert Email Sender","Expéditeur du mail d\'alerte"
"Product Alerts Run Settings","Paramétrage d\'exécution des alertes de produit"
"Sign up for price alert","Enregistrez-vous pour recevoir une alerte de modification de prix"
"Sign up to be notified when this product is back in stock.","Inscrivez-vous pour être averti lorsque le produit sera de nouveau en stock."
