Url,URL
"Preview Image","Image d\'aperçu"
"Get Video Information","Obtenir des informations de la vidéo"
"YouTube and Vimeo supported.","YouTube et Vimeo sont supportés."
"Vimeo supported.<br />To add YouTube video, please <a href=""%1"">enter YouTube API Key</a> first.","Viméo supporté. Pour ajouter une vidéo YouTube, veuillez <a href=""%1"">renseigner une clé d\'API YouTube</a> en premier."
"Could not get preview image information. Please check your connection and try again.","Impossible d\'obtenir une image d\'aperçu. Veuillez vérifier votre connexion et réessayez."
"Click here to add videos.","Cliquez ici pour ajouter des vidéos."
"New Video","Nouvelle vidéo"
"Add Video","Ajouter une vidéo"
"Add video","Ajouter une vidéo"
"Delete video","Supprimer la vidéo"
Title:,"Titre :"
Uploaded:,"Date :"
Uploader:,"Propriétaire :"
Duration:,"Durée :"
"Video Error","Erreur de la vidéo"
"Unknown video type","Type de vidéo inconnu"
"Invalid video url","URL de la vidéo invalide"
"Youtube API key is invalid","La clé d\'API YouTube est invalide"
"Video cant be shown due to the following reason: ","La vidéo ne peut être affichée pour la raison suivante : "
"Video not found","Vidéo introuvable"
"Edit Video","Modifier la vidéo"
"Product Video","Vidéos des produits"
"YouTube API Key","Clé d\'API YouTube"
"Autostart base video","Démarrage automatique de la vidéo de base"
"Show related video","Afficher les vidéos en relation"
"Auto restart video","Redémarrage automatique de la vidéo"
