"Could not apply coupon code","Impossible d\'appliquer le bon de réduction"
"Coupon code is not valid","Le bon de réduction est invalide"
"Could not delete coupon code","Impossible de supprimer le bon de réduction"
"The requested Payment Method is not available.","La méthode demandée de paiement n\'est pas disponible."
"We found an invalid request for adding product to quote.","Demande d\'ajout de produit au panier invalide."
"This is the wrong quote item id to update configuration.","Ce n\'est pas le bon identifiant d\'article pour mettre à jour la configuration."
"This shipping method is not available. To use this shipping method, please contact us.","Cette méthode de livraison n\'est pas disponible. Pour utiliser cette méthode de livraison, veuillez nous contacter."
"The address model is not defined.","Le modèle d\'adresse n\'est pas défini."
"Grand Total","Montant global"
"Shipping & Handling (%1)","Frais de port (%1)"
"Shipping & Handling","Frais de port"
"We found an invalid item option format.","Un format d\'option d\'article est invalide."
"An item option with code %1 already exists.","Une option article avec le code %1 existe déjà."
"Item qty declaration error","Erreur sur la déclaration de la quantité d\'un article"
"Some of the products below do not have all the required options.","Certains produits ci-dessous ne possèdent pas toutes les options nécessaires."
"Something went wrong during the item options declaration.","Une erreur s\'est produite lors de la déclaration des options de l\'article."
"We found an item options declaration error.","Erreur sur la déclaration des options d\'un article."
"Some of the selected options are not currently available.","Certaines options sélectionnées sont actuellement indisponibles."
"Selected option(s) or their combination is not currently available.","Les options sélectionnées ou leur combinaison sont actuellement indisponibles."
"Some item options or their combination are not currently available.","Certaines options d\'articles ou leur combinaison sont actuellement indisponibles."
"Could not save quote","Impossible de d\'enregistrer le panier"
"Could not remove item from quote","Impossible de supprimer cet article du panier"
"The qty value is required to update quote item.","La valeur de la quantité est obligatoire pour mettre à jour l\'article du panier."
"Invalid customer id %1","L\'identifiant de client %1 est invalide"
"Invalid address id %1","L\'identifiant de l\'adresse %1 est invalide"
"Cannot create quote","Impossible de créer le panier"
"Cannot assign customer to the given cart. The cart belongs to different store.","Impossible d\'assigner ce client au panier désiré. Le panier appartient à un magasin différent."
"Cannot assign customer to the given cart. The cart is not anonymous.","Impossible d\'assigner ce client au panier désiré. Le panier n\'est pas anonyme."
"Cannot assign customer to the given cart. Customer already has active cart.","Impossible d\'assigner ce client au panier désiré. Le client possède déjà un panier actif."
"This item price or quantity is not valid for checkout.","Le prix ou la quantité de cet article est invalide pour commander."
"Please check the shipping address information. %1","Veuillez vérifier les informations de l\'adresse de livraison. %1"
"Please specify a shipping method.","Sélectionnez un mode de livraison."
"Please check the billing address information. %1","Veuillez vérifier les informations de l\'adresse de facturation. %1"
"Please select a valid payment method.","Sélectionnez un mode de paiement valide."
"Store Credit","Carte de crédit du magasin"
"Shipping address not set.","Adresse de livraison non définie."
"Cart contains virtual product(s) only. Shipping method is not applicable.","Le panier ne contient uniquement que des produits virtuels. Les méthode de livraison ne sont pas applicables. "
"Cannot set shipping method. %1","Impossible de définir la méthode d\'expédition. %1"
error123,error123
error345,error345
