"New Accounts","Nouveaux comptes"
"Customers by number of orders","Clients par nombre de commandes"
"Customers by Orders Total","Clients par montant de commande"
"Date Used","Date utilisée"
Period,Période
"Empty Rows","Lignes vides"
"Invalid date specified","Date spécifiée invalide"
"Show Reviews","Afficher les commentaires"
"Products Report","Rapport produits"
Downloads,Téléchargements
Link,Lien
Purchases,Commandes
CSV,CSV
"Excel XML","XML d\'Excel"
"Low stock","Stock bas"
"Products Ordered","Produits commandés"
"Most Viewed","Les plus consultés"
"Show Report","Afficher le rapport"
Interval,Intervalle
"Refresh Statistics","Actualiser les statistiques"
"Customers Reviews","Clients ayant commenté"
"Reviews for %1","Commentaires pour %1"
Detail,Détail
"Products Reviews","Produits commentés"
"Products Bestsellers Report","Rapport des meilleures ventes"
"Order Quantity","Quantité commandée"
"Coupons Usage Report","Rapport des utilisations des bons de réduction"
"Coupon Code","Code du bon de réduction"
"Price Rule","Règle de prix panier"
Uses,"Nombre d\'utilisations"
"Sales Subtotal","Sous-total des ventes"
"Sales Discount",Remises
"Sales Total","Total des ventes"
"Total Invoiced vs. Paid Report","Rapport du facturé en fonction du payé"
"Invoiced Orders","Commandes facturées"
"Total Invoiced","Total facturée"
"Paid Invoices","Factures payées"
"Unpaid Invoices","Factures impayées"
"Total Refunded Report","Rapport des remboursements"
"Refunded Orders","Commandes remboursées"
"Total Refunded","Total remboursé"
"Online Refunds","Remboursements en ligne"
"Offline Refunds","Remboursements hors ligne"
"Total Ordered Report","Rapport du total commandé"
"Sales Items","Articles vendus"
Profit,Bénéfice
Paid,Payée
"Sales Tax",Taxes
"Sales Shipping",Expéditions
"Total Shipped Report","Rapport des expéditions"
Carrier/Method,Transporteur/Méthode
"Total Sales Shipping","Total des ventes d\'expédition"
"Total Shipping","Total expédition"
"Order Taxes Report Grouped by Tax Rate","Rapport de TVA & taxes groupées par taux de taxe"
Rate,Taux
"Tax Amount","Montant TVA"
"Abandoned carts","Paniers abandonnés"
"Applied Coupon","Coupons utilisés"
"IP Address","Adresse IP"
"Items in Cart","Articles dans le panier"
"Products in carts","Produits dans des paniers"
Carts,Paniers
"Wish Lists","Listes d\'envies"
"Wish List Purchase","Commandes à partir de listes d\'envies"
"Wish List vs. Regular Order","Listes d\'envies / Commande classique"
"Times Deleted","Nbr de suppression"
"Index type is not valid","Type d\'indexe invalide"
"New Accounts Report","Rapport des nouveaux comptes"
"Customers by Number of Orders","Clients par nombre de commandes"
"Order Count Report","Rapport du nombre de commandes"
"Order Total Report","Rapport des totals de commandes"
"Downloads Report","Rapport des téléchargements"
"Low Stock","Stock bas"
"Low Stock Report","Rapport des stocks bas"
"Ordered Products Report","Rapport des produits commandés"
"Products Most Viewed Report","Rapport des produits les plus vus"
"Product Views Report","Rapport des produits vus"
"An error occurred while showing the product views report. Please review the log and try again.","Une erreur s\'est produite lors de l\'affichage du rapport des produits vus. Veuillez vérifier le journal des erreurs et essayez à nouveau."
Review,Avis
Reviews,Avis
"Customers Report","Rapport des clients"
"Customer Reviews Report","Rapport des avis clients"
"Product Reviews Report","Rapport des avis produits"
"Product Reviews","Avis produit"
"Best Sellers Report","Rapport des meilleures ventes"
Coupons,"Bons de réduction"
"Coupons Report","Rapport des bons de réduction"
"Invoice Report","Rapport des factures"
"Refunds Report","Rapport des remboursements"
"Sales Report","Rapport des ventes"
"Shipping Report","Rapport des livraisons"
"Tax Report","Rapport des taxes"
"Abandoned Carts","Paniers abandonnés"
"Customer Shopping Carts","Paniers des clients"
"Products in Carts","Produits dans des paniers"
Statistics,Statistiques
"No report code is specified.","Aucun code de rapport spécifié."
"You refreshed lifetime statistics.","Statistiques depuis le début rafraîchie."
"Recent statistics have been updated.","Les statistiques récentes ont été mise à jour."
"The product type filter specified is incorrect.","Le filtre ""Type de produit"" spécifié est invalide."
"Order Taxes Report Grouped by Tax Rates","Rapport de taxes de commande groupés par taux d\'imposition"
"Total Invoiced VS Paid Report","Rapport du facturé en fonction du payé"
"Promotion Coupons Usage Report","Rapport d\'utilisation des bons de promotion"
"Most Viewed Products Report","Rapport des produits les plus consultés"
"Show By","Afficher par"
"Select Date","Sélectionner une date"
"Customers that have Wish List: %1","Les clients possédant une liste d\'envies : %1"
"Number of Wish Lists: %1","Nombre de liste d\'envies : %1"
"Number of items bought from a Wish List: %1","Nombre d\'articles achetés à partir d\'une liste d\'envies : %1"
"Number of times Wish Lists have been shared (emailed): %1","Nombre de fois où une liste d\'envies a été partagée (e-mail) : %1"
"Number of Wish List referrals: %1","Nombre de listes d\'envies références : %1"
"Number of Wish List conversions: %1","Nombre de conversions à partir des listes d\'envies : %1"
"Show Report For:","Afficher le rapport pour :"
"Recently Viewed","Vu récemment"
"Recently Compared","Dernières comparaisons"
"Recently Viewed/Compared Products","Produits récemment consultés/comparés"
"Show for Current","Afficher pour le"
"Default Recently Viewed Products Count","Nombre de produits récemment consultés par défaut"
"Default Recently Compared Products Count","Nombre de produits récemment comparés par défaut"
"Year-To-Date Starts","L\'année en cours commence le"
"Current Month Starts","Le mois en cours commence le"
"Select day of the month.","Choisissez le jour du mois."
"List of Products Recently Viewed by Visitor","Liste des derniers produits vus par le visiteur"
"Number of Products to display","Nombre de produits à afficher"
"Viewed Products Grid Template","Gabarit de grille de produits vus"
"Viewed Products List Template","Gabarit de liste de produits vus"
"Viewed Products Images and Names Template","Gabarit des images et noms des produits vus"
"Viewed Products Names Only Template","Gabarit des noms des produits vus uniquement"
"Viewed Products Images Only Template","Gabarit des images des produits vus uniquement"
"List of Products Recently Compared and Removed from the Compare List by Visitor","Liste des derniers produits comparés et enlevés de la liste de comparaison par un visiteur"
"Compared Products Grid Template","Gabarit de grille de produits comparés"
"Compared Products List Template","Gabarit de liste de produits comparés"
"Compared Products Images and Names Template","Gabarit des images et noms des produits comparés"
"Compared Product Names Only Template","Gabarit des noms des produits comparés uniquement"
"Compared Product Images Only Template","Gabarit des images des produits comparés uniquement"
"Stock Quantity","Quantité du stock"
"Ordered Quantity","Quantité commandée"
"For accurate reporting, be sure to refresh lifetime statistics whenever you change the time zone.","Pour des rapports précis, assurez-vous d\'actualiser les statistiques depuis le début chaque fois que vous modifiez le fuseau horaire."
"Average (Approved)","Moyenne (approuvé)"
"Last Review","Dernier commentaire"
"Order Created","Commande créée"
"Order Updated","Mise à jour de commande"
"The Order Updated report is created in real time and does not require a refresh.","La rapport des mises à jour des commandes est créé en temps réel et ne nécessite pas d\'être rafraîchi."
"Last Invoice Created Date","Date de création de la dernière facture"
"Last Credit Memo Created Date","Date de création du dernier avoir"
"First Invoice Created Date","Date de création de la première facture"
"Refresh Lifetime Statistics","Rafraichir les statistiques depuis le début"
"Are you sure you want to refresh lifetime statistics right now? This operation may slow down your customers' shopping experience.","Etes-vous sûr que vous voulez rafraîchir les statistiques de durée de vie en ce moment ? Cette opération peut ralentir l\'expérience d\'achat de vos clients."
"Refresh Statistics for the Last Day","Rafraichir les statistiques pour le dernier jour"
