"Save Review","Enregistrer l\'avis"
"New Review","Nouvel avis"
"Review Details","Détail de l\'avis"
"Product Rating","Évaluation du produit"
Nickname,Pseudo
"Summary of Review","Résumé de l\'avis"
"Save and Previous","Enregistrer et précédent"
"Save and Next","Enregistrer et suivant"
"Delete Review","Supprimer l\'avis"
"Edit Review '%1'","Modifier l\'avis \'%1\'"
Administrator,Administrateur
Author,Auteur
"Summary Rating","Aperçu des évaluations"
"Detailed Rating","Évaluation détaillée"
"Update Status","Mettre à jour le statut"
"Pending Reviews of Customer `%1`","Avis en attente du client \'%1\'"
"Pending Reviews","Avis en attente"
"All Reviews of Customer `%1`","Tous les avis du client \'%1\'"
"All Reviews of Product `%1`","Tous les avis pour le produit \'%1\'"
"All Reviews","Tous les avis"
"Product Store Name","Nom du produit dans le magasin"
"Manage Ratings","Gérer les évaluations"
"Add New Rating","Ajouter une évaluation"
"Save Rating","Enregistrer l\'évaluation"
"Delete Rating","Supprimer l\'évaluation"
"Edit Rating #%1","Modifier la note #%1"
"New Rating","Nouvelle évaluation"
"Rating Title","Titre de l\'évaluation"
"Rating Visibility","Visibilité de l\'évaluation"
"Is Active",Activée
"Rating Information","Informations de l\'évaluation"
"Pending product review(s)","Avis de produit en attente"
"Product: <a href=""%1"" target=""_blank"">%2</a> <br/>","Produit : <a href=""%1"" target=""_blank"">%2</a> <br/>"
"Summary of review: %1 <br/>","Résumé de l\'avis : %1 <br/>"
"Review: %1 <br/>","Avis : %1 <br/>"
"Store: %1 <br/>","Magasin : %1 <br/>"
"Click <a href=""%1"">here</a> to see the review.","Cliquez <a href=""%1"">ici</a> pour voir l\'avis."
"Product: ""%1"" reviewed by: %2","Produits : ""%1"" avis de : %2"
"Pending Reviews RSS","Flux RSS des avis en attente"
"Reviews %1","Avis %1"
"The review has been deleted.","L\'avis a été supprimé."
"Something went wrong  deleting this review.","Une erreur s\'est produite lors de la suppression de l\'avis."
"Customer Reviews","Avis des clients"
"Edit Review","Modifier l\'avis \'%s\'"
"Please select review(s).","Sélectionnez au moins un avis."
"Something went wrong while deleting these records.","Une erreur s\'est produite lors de la suppression de ces enregistrements."
"Something went wrong while updating these review(s).","Une erreur s\'est produite lors de la mise à jour des ces avis."
"You saved the review.","Avis enregistré."
"Something went wrong while saving this review.","Une erreur s\'est produite lors de l\'enregistrement de cet avis."
"The review was removed by another user or does not exist.","L\'avis a été supprimé par un autre utilisateur ou n\'existe pas."
"You deleted the rating.","Évaluation supprimée."
Ratings,Évaluations
"You saved the rating.","Évaluation enregistrée."
"My Product Reviews","Mes avis"
"You submitted your review for moderation.","L\'avis est en cours de validation."
"Storage key was not set","Clé de stockage non définie"
Approved,Approuvé
"Not Approved","Non approuvé"
"Please enter a review summary.","Veuillez renseigner un résumé pour votre avis."
"Please enter a nickname.","Veuillez renseigner un pseudo."
"Please enter a review.","Veuillez renseigner votre avis."
"Assigned Options","Options attribuées"
"Option Title:","Titre de l\'option :"
Rating,Évaluation
"See Details","Voir les détails"
"You have submitted no reviews.","Vous n\'avez posté aucun avis."
"My Recent Reviews","Mes derniers avis :"
"View All","Tout voir"
"Average Customer Rating:","Note moyenne des clients :"
"Your Review","Votre avis"
"Submitted on %1","Soumis le %1"
"Back to My Reviews","Retour à mes avis"
"Ratings Review Summary","Résumé des avis"
"Be the first to review this product","Soyez le premier à laisser un avis sur ce produit"
"Write Your Own Review","Rédigez votre propre avis"
"Your Rating","Votre évaluation"
"%1 %2","%1 %2"
"Submit Review","Soumettre l\'avis"
"Only registered users can write reviews. Please, <a href=""%1"">Sign in</a> or <a href=""%2"">create an account</a>","Seuls les utilisateurs enregistrés peuvent soumettre leur avis. Veuillez <a href=""%1"">vous connecter</a> ou <a href=""%2"">créer un compte</a>"
"Add Your Review","Ajoutez votre avis"
"%1 Review(s)","%1 Avis"
"Review by","Soumis par"
"Posted on","Soumis le"
"Back to Main Product Info","Retour à la fiche du produit"
"Average Customer Rating","Note moyenne"
"Product Rating:","Note du produit :"
"Product Review (submitted on %1):","<strong>Avis</strong> (soumis le %1) :"
"Back to Product Reviews","Retour aux avis"
"Allow Guests to Write Reviews","Autoriser les invités à écrire des avis"
