"Cart Price Rules","Règles de prix panier"
"Percent of product price discount","Remise en pourcentage du prix du produit"
"Fixed amount discount","Remise d'une valeur fixe"
"Fixed amount discount for whole cart","Remise d'un montant fixe pour l'ensemble du panier"
"Buy X get Y free (discount amount is Y)","X achetés, Y gratuits (la valeur de la remise est Y)"
"Maximum Qty Discount is Applied To","Qté maxi à laquelle la remise est appliquée"
"Discount Qty Step (Buy X)","Quantité pour obtenir la remise (Achetez-en X)"
"Apply to Shipping Amount","Appliquer au montant de la livraison"
"Apply the rule only to cart items matching the following conditions (leave blank for all items).","Appliquer la règle uniquement aux articles du panier qui correspondant aux conditions suivantes (laisser vide pour tous les articles)."
"Apply To","S'applique à"
"Apply the rule only if the following conditions are met (leave blank for all products).","Appliquer la règle uniquement si les conditions suivantes sont remplies (laisser vide pour tous les produits)."
"Manage Coupon Codes","Gérer les codes de bons de réduction"
"Coupons Information","Informations sur les bons de réduction"
"Coupon Qty","Qté de bons de réduction"
"Code Length","Longueur du code"
"Excluding prefix, suffix and separators.","En excluant le préfixe, le suffixe et les séparateurs."
"Code Format","Format du code"
"Code Prefix","Préfixe de code"
"Code Suffix","Suffixe de code"
"Dash Every X Characters","Ajouter un trait tous les X caractères"
"If empty no separation.","Si vide, aucune séparation."
Generate,Générer
"Times Used","Nombre d'utilisations"
"Are you sure you want to delete the selected coupon(s)?","Êtes-vous sûr de vouloir effacer les bons de réduction sélectionnés ?"
Labels,Libellés
"Default Label","Libellé par défaut"
"Default Rule Label for All Store Views","Libellé de règle par défaut pour toutes les vues magasin"
"Store View Specific Labels","Libellés spécifiques par vue magasin"
Coupon,"Bon de réduction"
"Use Auto Generation","Utiliser la génération automatique"
"If you select and save the rule you will be able to generate multiple coupon codes.","Si vous sélectionnez et enregistrez la règle, vous pourrez générer des codes de bons de réductions."
"Uses per Coupon","Nombre d'utilisations par coupon"
"Uses per Customer","Nombre d'utilisations par client"
"Usage limit enforced for logged in customers only.","Limite d'utilisation imposée uniquement aux clients connectés."
"Public In RSS Feed","Public dans le flux RSS"
"Cart Price Rule","Règle de prix panier"
Rule,Règle
End,Fin
"%1 - Discounts and Coupons","%1 - Remises et coupons"
Coupons/Discounts,Coupons/Réductions
"New Cart Price Rule","Nouvelle règle de prix panier"
"Rule is not defined","La règle n'est pas définie"
"Invalid data provided","Données fournies invalides"
"%1 coupon(s) have been generated.","% coupon(s) ont été générés."
"Something went wrong while generating coupons. Please review the log and try again.","Une erreur s'est produite lors de la génération des coupons. Veuillez consulter le journal des erreurs et essayez à nouveau."
"The wrong rule is specified.","Une mauvaise règle est spécifiée."
Alphanumeric,Alphanumérique
Alphabetical,Alphabétique
Numeric,Numérique
"We cannot create the requested Coupon Qty. Please check your settings and try again.","Impossible créer la quantité de coupon demandée. Veuillez vérifier vos paramètres puis réessayez."
"Specified rule does not allow coupons","La règle spécifiée ne permet pas l'utilisation de coupons"
"Specified rule only allows auto generated coupons","La règle spécifiée permet uniquement l'utilisation de coupons générés"
"Specified rule does not allow auto generated coupons","La règle spécifiée ne permet pas l'utilisation de coupons générés"
"Error occurred when saving coupon: %1","Une erreur s'est produite lors de l'enregistrement du coupon : %1"
"Discount (%1)","Remise (%1)"
"Coupon with the same code","Coupon de réduction avec le même code"
"No Coupon","Pas de coupon de réduction"
"Specific Coupon","Bon de réduction spécifique"
"Total Items Quantity","Quantité totale d'articles"
"Total Weight","Poids total"
"Shipping Postcode","Code postal de livraison"
"Shipping Region","Région de livraison"
"Shipping State/Province","État/région de livraison"
"Shipping Country","Pays de livraison"
"Product attribute combination","Combinaison d'attributs de produit"
"Products subselection","Sous-sélection de produits"
"Conditions combination","Combinaison de conditions"
"Cart Attribute","Attribut de panier"
"Quantity in cart","Quantité dans le panier"
"Price in cart","Prix dans le panier"
"Row total in cart","Total de la ligne du panier"
"Cart Item Attribute","Attribut d'article panier"
FOUND,"PRÉSENT DANS LE"
"NOT FOUND","ABSENT DU"
"If an item is %1 in the cart with %2 of these conditions true:","Si un article est %1 panier et qu'il répond à %2 ces conditions :"
"total quantity","quantité totale"
"total amount","montant total"
"If %1 %2 %3 for a subselection of items in cart matching %4 of these conditions:","Si %1 %2 %3 pour une sous-sélection d'articles dans le panier répondant à %4 ces conditions :"
"Specified rule does not allow automatic coupon generation","La règle spécifiée ne pas pas la génération automatique de coupon"
"Error occurred when generating coupons: %1","Une erreur s'est produite lors de la génération des coupons : %1"
"Some coupons are invalid.","Certains coupons sont invalides."
"Item totals are not set for the rule.","Le total des articles n'est pas spécifié dans la règle."
"%1 Cart Price Rules based on ""%2"" attribute have been disabled.","La règle de prix panier %1 basée sur l'attribut ""%2"" a été désactivée."
"Auto Generated Specific Coupon Codes","Codes de bons de réduction spécifiques générés automatiquement"
