"The link to a friend was sent.","Le lien à un ami a été envoyé."
"We found some problems with the data.","Il y a des erreurs avec les données."
"Some emails were not sent.","Certains e-mails n'ont pas été envoyés."
"Please enter a sender name.","Veuillez renseigner un nom d'expéditeur."
"Invalid Sender Email","Nom d'expéditeur invalide."
"Please enter a message.","Veuillez renseigner un message."
"Please specify at least one recipient.","Veuillez renseigner au moins un destinataire."
"Please enter a correct recipient email address.","Veuillez vérifier l'adresse e-mail du destinataire."
"No more than %1 emails can be sent at a time.","Il n'est pas possible d'envoyer plus de %1 e-mails à la fois."
"Please define a correct product instance.","Définissez une instance de produit correcte."
"Invalid Sender Information","Les informations de l'expéditeur sont invalides"
"Please define the correct sender information.","Définissez correctement les informations de l'expéditeur."
"Cookie (unsafe)","Cookie (non sécurisé)"
"No Product Exception.","No Product Exception."
"No Category Exception.","No Category Exception."
"Some error","Some error"
"Localized Exception.","Localized Exception."
Exception.,Exception.
"Remove Recipent","Supprimer le destinataire"
Invitee,Destinataire
"Maximum %1 email addresses allowed.","%1 adresses mail maxi autorisées."
"Add Invitee","Ajouter un destinataire"
"%sender_name wants to share this product with you:","%sender_name voudrait partager ce produit avec vous :"
"Message from %sender_name:","Message de la part de %sender_name :"
"Email to a Friend","Envoyer à un ami"
"Select Email Template","Sélectionner le gabarit d'e-mail"
"Allow for Guests","Autoriser pour les invités"
"Max Recipients","Nombre maxi de destinataires"
"Max Products Sent in 1 Hour","Nombre maxi de produits envoyés en 1 heure"
"Limit Sending By","Limiter l'envoi par"
