"New Shipment for Order #%1","Nouvelle expédition pour la commande n°%1"
"Submit Shipment","Valider l'expédition"
"Products should be added to package(s)","Les produits devraient être ajoutés au(x) paquet(s)"
"The value that you entered is not valid.","La valeur n'est pas valide."
"Add Tracking Number","Ajouter un numéro de suivi"
"Custom Value","Valeur personnalisée"
"Send Tracking Information","Envoyer les informations de suivi"
"Are you sure you want to send a Shipment email to customer?","Êtes-vous sûr de vouloir envoyer un e-mail d'expédition au client ?"
"the shipment email was sent","l'e-mail d'expédition a été envoyé"
"the shipment email is not sent","l'e-mail d'expédition n'a pas été envoyé"
"Shipment #%1 | %3 (%2)","Expédition n°%1 | %3 (%2)"
"Create Shipping Label...","Créer l'étiquette de livraison..."
"Print Shipping Label","Imprimer l'étiquette de livraison"
"Show Packages","Afficher les paquets"
"About Your Shipment","À propos de votre expédition"
"Please specify a carrier.","Veuillez spécifier un transporteur."
"Cannot add tracking number.","Impossible d'ajouter un numéro de suivi."
"You created the shipping label.","Etiquette d'expédition créée."
"An error occurred while creating shipping label.","Erreur lors de la création de l'étiquette de livraison."
"You sent the shipment.","Expédition envoyée."
"Cannot send shipment information.","Impossible d'envoyer les informations d'expédition."
"There are no shipping labels related to selected orders.","Aucune étiquette d'expédition liées aux commandes sélectionnées."
"New Shipment","Nouvelle livraison"
"The shipment has been created.","L'expédition a été créée."
"Cannot save shipment.","Impossible d'enregistrer l'expédition."
"Cannot do shipment for the order separately from invoice.","Impossible de créer une expédition pour la commande séparément de la facture."
"Cannot do shipment for the order.","Impossible de créer une expédition pour la commande."
"There are no shipping labels related to selected shipments.","Aucune étiquette d'expédition liées aux expéditions sélectionnées."
"Tracking Information","Informations de suivi"
"The shipping module is not available.","Le module de livraison n'est pas disponible."
"This shipping method is not available. Please specify the zip code.","La méthode de livraison n'est pas disponible. Veuillez spécifier un code postal."
"Security validation of XML document has been failed.","La validation de sécurité du document XML a été échoué."
Development,Développement
Live,"En production"
"Divide to equal weight (one request)","Diviser en poids égal (une demande)"
"Use origin weight (few requests)","Utiliser le poids d'origine (plusieurs demandes)"
Packages,Packages
Package,Interface
Length,Longueur
"Signature Confirmation","Confirmation de signature"
"Customs Value","Valeur personnalisée"
Contents,Contenu
Size,Taille
Girth,Circonférence
"Items in the Package","Articles dans le paquet"
"Qty Ordered","Qté commandée"
"No detail for number ""%1""","Aucun détail pour le numéro ""%1"""
"Shipping labels is not available.","Les étiquettes d'expédition ne sont pas disponibles."
"Response info is not exist.","Les informations de la réponse n'existe pas."
"Invalid carrier: %1","Transporteur invalide : %1"
"Per Package","Par paquet"
"Tracking information is unavailable.","Les informations de suivi sont indisponibles."
"Items to Ship","Articles à expédier"
"Qty to Ship","Qté à expédier"
"Shipment Total","Total de l'expédition"
"Shipment Comments","Commentaires de livraison"
"Shipment Options","Options d'expédition"
"Create Shipping Label","Créer l'étiquette de livraison"
"Email Copy of Shipment","Envoyer une copie de la livraison par mail"
"Invalid value(s) for Qty to Ship","Qté à expédier invalide"
"Create Packages","Créer les paquets"
"Add Package","Ajouter un colis"
"Add Selected Product(s) to Package","Ajouter les produits sélectionnés au colis"
"Add Products to Package","Ajouter des produits au colis"
in,in
lb,lb
kg,kg
"Delete Package","Effacer le paquet"
Explanation,Explication
Carrier,Transporteur
"Shipping &amp; Handling Information","Informations de livraison"
"Track Order","Suivre la commande"
"Shipping and Tracking Information","Informations de livraison et de suivi"
"Track this shipment","Suivre cette livraison"
"Items Shipped","Articles expédiés"
"Shipment History","Historique de livraison"
"Print All Shipments","Imprimer toutes les livraisons"
"Shipment #","Expédition n°"
"Print Shipment","Imprimer la livraison"
"Tracking Number(s):","Numéro(s) de suivi :"
"Order tracking","Suivi de commande"
"Tracking Number:","Numéro de suivi :"
Carrier:,"Transporteur :"
Error:,"Erreur :"
"Tracking information is currently not available. Please ","Les informations de suivi ne sont pas disponibles pour le moment. Vous pouvez  "
"contact us",contactez-nous
" for more information or "," pour plus d'information ou "
"email us at ","nous envoyer un e-mail à  "
Info:,"Info :"
Track:,"Suivre :"
"Delivered on:","Livré le :"
"Signed by:","Signé par :"
"Delivered to:","Livré à :"
"Shipped or billed on:","Livré ou facturé le :"
"Service Type:","Type de service :"
Weight:,"Poids :"
"Track history","Historique du suivi"
Location,Lieu
"Local Time","Heure locale"
"There is no tracking available for this shipment.","Aucun suivi disponible pour la livraison."
"There is no tracking available.","Aucun suivi disponible."
"Shipping Settings","Paramètres de livraison"
Origin,Origine
"Shipping Policy Parameters","Paramètres des conditions de livraison"
"Apply custom Shipping Policy","Appliquer des conditions de livraison personnalisées"
"Shipping Policy","Conditions de livraison"
