"Current store is not active.","Le magasin actuel n\'est pas actif."
"Requested store is inactive","La magasin demandé est innactif."
"Requested store is not found","Le magasin demandé est introuvable."
"Environment emulation nesting is not allowed.","L\'imbrication d\'émulation d\'environnement n\'est pas autorisée."
"Only default scope allowed","Seule la portée par défaut est autorisé"
"Invalid scope object","Objet de portée invalide"
"Store with the same code","Magasin avec le même code"
"Website with the same code","Site web avec le même code"
"Website code may only contain letters (a-z), numbers (0-9) or underscore (_), and the first character must be a letter.","Le code du site web ne peut contenir que des lettres (a-z), nombres (0-9) ou underscore (_). Le premier caractère doit être une lettre."
"Name is required","Le nom est obligatoire"
"The store code may contain only letters (a-z), numbers (0-9) or underscore (_), and the first character must be a letter.","Le code du magasin ne peut contenir que des lettres (a-z), nombres (0-9) ou underscore (_). Le premier caractère doit être une lettre."
"Store is inactive","Magasin désactivé"
"Default store is inactive","Le magasin par défaut est désactivé"
"More than one default website is defined","Plus d\'un site web par défaut est défini"
"Default website is not defined","Le site web par défaut n\'est pas défini"
"Your Language:","Votre langue :"
"Your Language",Langue
Language,Langue
"Select Store","Choisir un magasin"
"Various XML configurations that were collected across modules and merged.","Plusieurs configurations XML ont été collectées à travers les modules et ont été fusionnées."
Layouts,Agencements
"Layout building instructions.","Instructions de construction d\'agencement."
"Blocks HTML output","Sortie de blocs HTML"
"Page blocks HTML.","Code HTML des blocs de page."
"Collections Data","Données de collections"
"Collection data files.","Fichiers de données de collection."
"Reflection Data","Données de Reflection"
"API interfaces reflection data.","Données de l\'API Reflection."
"Database DDL operations","Requêtes DDL sur la base de données"
"Results of DDL queries, such as describing tables or indexes.","Résultats des requêtes DDL, comme la description des tables et des indexes."
