"Swatch Helper: not valid parameter for product instantiation","Helper de Swatch : paramètre invalide pour l'instanciation du produit"
"Admin is a required field in the each row","Le champ ""Admin"" est obligatoire pour chaque ligne"
"Update Product Preview Image","Mettre à jour l'image du produit"
"Filtering by this attribute will update the product image on catalog page","Filtrer par cet attribut mettra jour l'image du produit sur la page catalogue"
"Use Product Image for Swatch if Possible","Utilisez l'image du produit pour le Swatch si possible"
"Allows use fallback logic for replacing swatch image with product swatch or base image","Utilisez la logique de fallback pour remplacer l'image de swatch avec le scatch du produit ou l'image de base"
"Visual Swatch","Visuel du Swatch"
"Text Swatch","Texte du Swatch"
"Manage Swatch (values of your attribute)","Gérer les Swatch (valeurs des attributs)"
"Add Swatch","Ajouter un Swatch"
Swatch,Swatch
"Swatches per Product","Swatches par produit"
