State,État
"Zip/Post Code","Code postal"
"Zip/Post is Range","Le code postal est une tranche"
"Range From","Tranche à partir de"
"Range To","Tranche jusqu\'à"
"Tax Zones and Rates","Zones et taux des taxes"
"Import and Export Tax Rates","Importer et exporter des taux de TVA"
"The tax rate has been imported.","Le taux de taxe a été importé."
"Invalid file upload attempt","Import de fichier invalide"
"Invalid file upload attempt.","Import de fichier invalide."
"Invalid file format.","Format de fichier invalide."
"One of the countries has invalid code.","Un des pays a un code invalide."
"Import Tax Rates","Import de taux de taxes"
"Export Tax Rates","Exporter les taux"
