"Condition type ""%1"" is not allowed","Le type de condition ""%1"" n\'est pas autorisé."
"The configuration parameter ""formElement"" is a required for ""%1"" field.","Le paramètre de configuration ""formElement"" est une obligation pour le champ ""%1""."
"Remove %1","Supprimer %1"
"Add New %1","Ajouter nouveau %1"
"New %1","Nouveau %1"
"Please select item(s).","Veuillez sélectionner un élement."
"Unsupported bookmark action.","Action de vue non supportée."
"Initialization error component, check the spelling of the name or the correctness of the call.","Initialization error component, check the spelling of the name or the correctness of the call."
"Bookmark with id ""%1"" does not exist.","La vue avec l\'ID ""%1"" n\'existe pas."
"Go to Details Page","Aller à la page des détails"
"Please enter more or equal than {0} symbols.","Veuillez renseigner un nombre de caractères supérieur ou égale à {0}."
"Please enter less or equal than {0} symbols.","Veuillez renseigner un nombre de caractères inférieur ou égale à {0}."
"Please enter {0} words or less.","Veuillez renseigner {0} mots ou moins."
"Please enter at least {0} words.","Veuillez renseigner au moins {0} mots."
"Please enter between {0} and {1} words.","Veuillez renseigner entre {0} et {1} mots."
"Letters or punctuation only please","Uniquement des lettres ou signes de ponctuation autorisés."
"Letters, numbers, spaces or underscores only please","Uniquement des lettre, nombres, espaces ou underscores autorisés."
"Letters only please","Uniquement des lettres autorisées."
"No white space please","Les espaces ne sont pas autorisés."
"Your ZIP-code must be in the range 902xx-xxxx to 905-xx-xxxx","Le code postal doit être compris entre 902xx-xxxx to 905-xx-xxxx"
"A positive or negative non-decimal number please","Uniquement des nombres entiers positifs ou négatifs autorisés."
"The specified vehicle identification number (VIN) is invalid.","Le numéro d\'identification de véhicule (NIV) fourni est invalide."
"Please enter a correct date","Veuillez renseigner une date valide."
"Vul hier een geldige datum in.","Vul hier een geldige datum in."
"Please enter a valid time, between 00:00 and 23:59","Veuillez renseigner une heure valide, entre 00:00 et 23:59"
"Please enter a valid time, between 00:00 am and 12:00 pm","Veuillez renseigner une heure valide, entre 00:00 am et 12:00 pm"
"Please specify a valid phone number","Veuillez renseigner un numéro de téléphone valide."
"Please specify a valid mobile number","Veuillez renseigner un numéro de mobile valide."
"Please enter at least {0} characters","Veuillez renseigner au moins {0} caractères."
"Please enter a valid credit card number.","Veuillez saisir un numéro de carte bancaire valide."
"Please enter a valid IP v4 address.","Veuillez renseigner une adresse IPv4 valide."
"Please enter a valid IP v6 address.","Veuillez renseigner une adresse IPv6 valide."
"Invalid format.","Format invalide."
"HTML tags are not allowed.","Les balises HTML ne sont pas autorisées."
"Please select an option.","Sélectionnez une option."
"Empty Value.","Valeur vide."
"Please use only letters (a-z or A-Z), numbers (0-9) or spaces only in this field.","Veuillez n\'utiliser uniquement que des lettres (a-z ou A-Z), des nombres (0-9) ou des espaces dans ce champ."
