"UPS Next Day Air","UPS Next Day Air"
"UPS Second Day Air","UPS Second Day Air"
"UPS Ground","UPS Ground"
"UPS Worldwide Express","UPS Worldwide Express"
"UPS Worldwide Expedited","UPS Worldwide Expedited"
"UPS Standard","UPS Standard"
"UPS Three-Day Select","UPS Three-Day Select"
"UPS Next Day Air Saver","UPS Next Day Air Saver"
"UPS Next Day Air Early A.M.","UPS Next Day Air Early A.M."
"UPS Worldwide Express Plus","UPS Worldwide Express Plus"
"UPS Second Day Air A.M.","UPS Second Day Air A.M."
"UPS Saver","UPS Saver"
"UPS Worldwide Saver","UPS Worldwide Saver"
"UPS Express","UPS Express"
"UPS Expedited","UPS Expedited"
"UPS Express Early A.M.","UPS Express Early A.M."
"UPS Worldwide Express PlusSM","UPS Worldwide Express PlusSM"
"UPS Today Standard","UPS Today Standard"
"UPS Today Dedicated Courrier","UPS Today Dedicated Courrier"
"UPS Today Intercity","UPS Today Intercity"
"UPS Today Express","UPS Today Express"
"UPS Today Express Saver","UPS Today Express Saver"
"UPS Express Plus","UPS Express Plus"
"Next Day Air Early AM","Next Day Air Early AM"
"Next Day Air Early AM Letter","Next Day Air Early AM Letter"
"Next Day Air","Next Day Air"
"Next Day Air Letter","Next Day Air Letter"
"Next Day Air Intra (Puerto Rico)","Next Day Air Intra (Puerto Rico)"
"Next Day Air Saver","Next Day Air Saver"
"Next Day Air Saver Letter","Next Day Air Saver Letter"
"2nd Day Air AM","2nd Day Air AM"
"2nd Day Air AM Letter","2nd Day Air AM Letter"
"2nd Day Air","2nd Day Air"
"2nd Day Air Letter","2nd Day Air Letter"
"3 Day Select","3 Day Select"
"Ground Commercial","Ground Commercial"
"Ground Residential","Ground Residential"
"Canada Standard","Canada standard"
"Worldwide Express","Worldwide Express"
"Worldwide Express Saver","Worldwide Express Saver"
"Worldwide Express Letter","Worldwide Express Letter"
"Worldwide Express Plus","Worldwide Express Plus"
"Worldwide Express Plus Letter","Worldwide Express Plus Letter"
"Worldwide Expedited","Worldwide Expedited"
"Customer Packaging","Paquet fait par le client"
"UPS Letter Envelope","UPS Letter Envelope"
"Customer Supplied Package","Emballage fourni par le client"
"UPS Tube","UPS Tube"
PAK,PAK
"UPS Express Box","UPS Express Box"
"UPS Worldwide 25 kilo","UPS Worldwide 25 kilo"
"UPS Worldwide 10 kilo","UPS Worldwide 10 kilo"
Pallet,Pallettes
"Small Express Box","Boite Express petite"
"Medium Express Box","Boite Express Medium"
"Large Express Box","Boite Express large"
Residential,Residential
Commercial,Commercial
"Cannot retrieve shipping rates","Impossible de récupérer les taux de livraison"
error_message,error_message
"Delivery Confirmation","Confirmation de livraison"
"Signature Required","Signature obligatoire"
"Adult Signature Required","La signature d'un adulte est requise"
"United Parcel Service","United Parcel Service"
"United Parcel Service XML","XML UPS"
UPS,UPS
"Access License Number","Numéro de permis d'accès"
"Destination Type","Type de destination"
"Gateway XML URL","URL XML de passerelle"
"Minimum Package Weight (Please consult your shipping carrier for minimum supported shipping weight)","Poids mini du paquet (consultez votre transporteur)"
"Origin of the Shipment","Origine de la livraison"
"Pickup Method",Retrait
"Tracking XML URL","URL XML de suivi"
"UPS Type","UPS Type"
"Live account","Compte Live"
"Enable Negotiated Rates","Activer les taux négociés"
"Shipper Number","Numéro du livreur"
"Required for negotiated rates; 6-character UPS","Obligatoire pour les tarifs négociés; UPS 6 caractères"
"This enables or disables SSL verification of the Magento server by UPS.","Active ou désactive la vérification SSL du serveur Magento par UPS."
