"Custom Variables","Variables personnalisées"
"Add New Variable","Nouvelle variable"
"Custom Variable ""%1""","Variable personnalisée ""%1"""
"New Custom Variable","Nouvelle variable personnalisée"
"Variable Code","Code de la variable"
"Variable Name","Nom de la variable"
"Use Default Variable Values","Utiliser les valeurs par défaut"
"Variable HTML Value","Valeur HTML de la variable"
"Variable Plain Value","Valeur texte de la variable"
"You deleted the custom variable.","Vous avez supprimé la variable personnalisée."
"You saved the custom variable.","Vous avez enregistré la variable personnalisée."
"Variable Code must be unique.","Le code de variable doit être unique."
"Validation has failed.","La validation a échoué."
"Variable ID","Identifiant de la variable"
