"Add Tax","Ajouter une taxe"
"Delete Tax","Supprimer la taxe"
FPT,TFP
"We found a duplicate of website, country and state fields for a fixed product tax","Nous avons trouvé une duplication de site web, pays et état pour une taxe fixe de produit"
"Including FPT only","TFP incluses uniquement"
"Including FPT and FPT description","TFP incluses et description des TFP"
"Excluding FPT. Including FPT description and final price","TFP excluses. Description et prix final des TFP incluses"
"Excluding FPT","Hors TFP"
label_value,label_value
"Fixed Product Tax","Taxe Fixe de Produit"
"Total Incl. Tax","Total TTC"
Country/State,"Pays / État"
"Final Price","Prix final"
"Fixed Product Taxes","Taxes Fixes de Produit"
"Enable FPT","Activer les TFP"
"Display Prices In Product Lists","Afficher les prix dans la liste des produits"
"Display Prices On Product View Page","Afficher les prix dans les fiches produits"
"Display Prices In Sales Modules","Afficher les prix dans les modules de paiement"
"Display Prices In Emails","Afficher les prix dans les e-mails"
"Apply Tax To FPT","Appliquer la taxe au TFP"
"Include FPT In Subtotal","Inclure TFP dans le sous-total"
