en,fr,type,module
Read Details,Lire les détails,module,Magento_AdminNotification
Mark as Read,Marquer comme lu,module,Magento_AdminNotification
Are you sure?,Êtes-vous sûr(e) ?,module,Magento_AdminNotification
Remove,Supprimer,module,Magento_AdminNotification
Messages Inbox,Messages reçus,module,Magento_AdminNotification
You have %1 new system messages,Vous avez %1 nouveaux messages système,module,Magento_AdminNotification
You have %1 new system message,Vous avez %1 nouveau message système,module,Magento_AdminNotification
Incoming Message,Message entrant,module,Magento_AdminNotification
close,fermer,module,Magento_AdminNotification
Notifications,Notifications,module,Magento_AdminNotification
The message has been marked as Read.,Le message a bien été marqué comme lu.,module,Magento_AdminNotification
We couldn't mark the notification as Read because of an error.,Impossible de marquer la notification comme lu suite à une erreur.,module,Magento_AdminNotification
Please select messages.,Veuillez sélectionner des messages.,module,Magento_AdminNotification
A total of %1 record(s) have been marked as Read.,%1 message(s) marqué(s) comme lu(s).,module,Magento_AdminNotification
Total of %1 record(s) have been removed.,%1 enregistrement(s) a (ont) bien été supprimé(s).,module,Magento_AdminNotification
We couldn't remove the messages because of an error.,Impossible de supprimer la notification suite à une erreur.,module,Magento_AdminNotification
The message has been removed.,Le message a bien été supprimé.,module,Magento_AdminNotification
1 Hour,1 Heure,module,Magento_AdminNotification
2 Hours,2 Heures,module,Magento_AdminNotification
6 Hours,6 Heures,module,Magento_AdminNotification
12 Hours,12 Heures,module,Magento_AdminNotification
24 Hours,24 Heures,module,Magento_AdminNotification
critical,critique,module,Magento_AdminNotification
major,majeur,module,Magento_AdminNotification
minor,mineur,module,Magento_AdminNotification
notice,annonce,module,Magento_AdminNotification
Wrong message type,Mauvais type de message.,module,Magento_AdminNotification
Wrong notification ID specified.,Mauvais ID de notification spécifié.,module,Magento_AdminNotification
"{{base_url}} is not recommended to use in a production environment to declare the Base Unsecure URL / Base Secure URL. We highly recommend changing this value in your Magento <a href=""%1"">configuration</a>.","Il n'est pas recommandé d'utiliser la variable {{base_url}} en production pour spécifier les URLs de base (sécurisée et non-sécurisée). Il est fortement recommandé de modifier cette valeur dans la <a href=""%1"">configuration</a> de Magento. ",module,Magento_AdminNotification
One or more of the Cache Types are invalidated: %1. ,Un ou plusieurs types de cache sont invalidés : %1. ,module,Magento_AdminNotification
"Please go to <a href=""%1"">Cache Management</a> and refresh cache types.","Veuillez vous rendre dans <a href=""%1"">Gestion du cache</a> et rafraîchir les types de cache.",module,Magento_AdminNotification
We were unable to synchronize one or more media files. Please refer to the log file for details.,Impossible de synchroniser un ou plusieurs fichiers médias. Veuillez vérifier le journal des logs pour obtenir plus de détails.,module,Magento_AdminNotification
